,No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number,first publication date,second publication date,first publication number,second publication number,first publication country,second publication country,first filing year,earliest priority year,applicant country,family_jurisdictions,family_members,IPC_Meaning,fields,first applicant,second applicant,first applicant type,second applicant type
0,1,ENHANCED GENERATIVE AI MODEL TUNING,"THEVENIN VINCENT [FR] 
NARESSI ALEXANDRE [FR] 
RINAUDO CLEMENT [FR]",ACCENTURE GLOBAL SOLUTIONS LTD [IE],US2024394511A1,2023-05-26,"['G06N3/0455', 'G06N3/0895']","['G06N3/045 (EP)', 'G06N3/0455 (EP,US)', 'G06N3/047 (EP)', 'G06N3/08 (EP)', 'G06N3/088 (EP)', 'G06N3/0895 (EP,US)']",2024-11-28,2024-11-28,86862114,2024-11-28,,US2024394511A1,,US,,2024,2023,IE,['US'],['US2024394511A1'],COMPUTING CALCULATING OR COUNTING,"['Computer Science', 'Mathematics']",ACCENTURE GLOBAL SOLUTIONS LTD [IE],,Company - Limited,Unknown
1,2,SIMILARITY-BASED GENERATIVE AI OUTPUT FILTERING,"PADGETT NEIL LEONARD [CA] 
ADAMS ANDRA [CA]",SHOPIFY INC [CA],US2024160902A1,2022-11-11,['G06N3/0475'],"['G06N20/00 (EP)', 'G06N3/044 (EP)', 'G06N3/0455 (EP)', 'G06N3/047 (EP)', 'G06N3/0475 (EP,US)', 'G06N3/084 (EP)', 'G06N3/088 (EP)', 'G06N3/0895 (EP)', 'G06N3/09 (EP)', 'G06N3/0985 (EP)', 'G06N3/006 (EP)', 'G06N3/0464 (EP)', 'G06N3/0499 (EP)', 'G06N3/092 (EP)']",2024-05-16,2024-05-11,90971881,2024-05-16,,US2024160902A1,,US,,2024,2022,CA,"['CA', 'US']","['CA3216020A1', 'US2024160902A1', 'US2024161258A1']",COMPUTING CALCULATING OR COUNTING,"['Computer Science', 'Mathematics']",SHOPIFY INC [CA],,Company - Incorporated/Corporation,Unknown
2,3,GAME DEVELOPMENT VIA GENERATIVE AI,"HOWARD BRIAN G [US] 
HOWARD JOHN W [US] 
STUCKMAN BRUCE E [US]",CHATBOTTBD LLC [US],US2024325924A1,2023-03-27,"['A63F13/67', 'G06T11/00']","['A63F13/63 (EP)', 'A63F13/67 (EP,US)', 'G06T11/00 (EP,US)', 'G06T2200/24 (US)']",2024-10-03,2024-10-03,92898846,2024-10-03,,US2024325924A1,,US,,2024,2023,US,['US'],['US2024325924A1'],SPORTS GAMES AMUSEMENTS,"['Sports Science', 'Psychology', 'Engineering']",CHATBOTTBD LLC [US],,Company - General,Unknown
3,4,DYNAMIC GENERATIVE-AI ENHANCED LEADERSHIP COACHING PLATFORM,"RAYMOND JONATHAN [US] 
PARSON MATT [CA]","RAYMOND JONATHAN [US] 
PARSON MATT [CA]",US2025013893A1,2023-07-06,"['G06F16/9032', 'G06F21/40', 'G06F40/186', 'G06F40/35', 'G06F40/40', 'G06N5/043', 'G06Q50/20']","['G06F16/90332 (EP,US)', 'G06F21/40 (EP,US)', 'G06F40/186 (EP,US)', 'G06F40/35 (EP,US)', 'G06F40/40 (EP,US)', 'G06N3/045 (EP)', 'G06N5/043 (EP,US)', 'G06Q50/2057 (EP,US)']",2025-01-09,2025-01-09,94175738,2025-01-09,,US2025013893A1,,US,,2025,2023,US,['US'],['US2025013893A1'],COMPUTING CALCULATING OR COUNTING,"['Computer Science', 'Mathematics']","RAYMOND JONATHAN [US] ",PARSON MATT [CA],Individual Inventor,Individual Inventor
4,5,INTELLIGENCE ARTIFICIELLE (IA) GÉNÉRATIVE À RÉFLEXION ULTRA-FIABLE ET SYSTÈME D'UTILISATION S'Y RAPPORTANT,NAKAMATS YOSHIRO [JP],NAKAMATS YOSHIRO [JP],WO2025005296A1,2023-06-28,"['G06F40/58', 'G06N3/004', 'H04L51/02']","['G06F40/58 (EP)', 'G06N3/004 (EP)', 'H04L51/02 (EP)']",2025-01-02,2025-01-02,93938573,2025-01-02,,WO2025005296A1,,WO,,2025,2023,JP,"['JP', 'WO']","['JP2025009955A', 'WO2025005296A1']",COMPUTING CALCULATING OR COUNTING,"['Computer Science', 'Mathematics']",NAKAMATS YOSHIRO [JP],,Individual Inventor,Unknown
5,6,Generative AI-based malicious code analysis method and system,"XUE SUJIN 
HU MIAOXIN 
ZHENG JIANMIN",XIAMEN NONGXIN DIGITAL TECH CO LTD,CN116720184A,2023-04-27,"['G06F18/213', 'G06F18/214', 'G06F18/241', 'G06F21/56', 'G06N3/0442', 'G06N3/08']","['G06F18/213 (CN)', 'G06F18/214 (CN)', 'G06F18/241 (CN)', 'G06F21/563 (CN)', 'G06N3/0442 (CN)', 'G06N3/08 (CN)', 'Y02D10/00 (EP)']",2023-09-08,2023-09-08,87868651,2023-09-08,,CN116720184A,,CN,,2023,2023,,['CN'],['CN116720184A'],COMPUTING CALCULATING OR COUNTING,"['Computer Science', 'Mathematics']",XIAMEN NONGXIN DIGITAL TECH CO LTD,,Company - Limited,Unknown
6,7,Building management system with generative AI-based root cause prediction,"BROWN JULIE J [US] 
LEE YOUNG M [US] 
RAMANASANKARAN RAJIV [US] 
MALLADI SASTRY KM [US] 
TENBROCK MICHAEL [CH] 
TINAZ LEVENT [US] 
GIRARD SAMUEL A [US] 
ELARIO DAVID S [US] 
PAGLIARO HERMAN JULIET A [US] 
GALVEZ MIGUEL [US] 
SWANSON TRENT M [US] 
KUCHLER JOHN F [US] 
BUDHIRAJA DEEPAK [US] 
NATALI DANIELA M [US] 
LAZAREVSKI JOSIP [CH] 
DEERING SCOTT [US] 
GAVIN GARY W [US] 
SHEPPARD-GUZELAYDIN KRISTEN [US] 
YOUNG JAMES [IE] 
SUDHAKAR PRASHANTHI [US] 
LUEDTKE KALEB [US] 
REICHENBERGER KARL F [US] 
ZHAO WENWEN [US] 
GRABOWSKI ADAM R [US] 
DERN LAUREN C [US] 
MADISON NICOLE A [US] 
PETERSEN DANA S [US] 
FORRY NEVIN L [US] 
PENA PEDRIANT [US] 
HAMOUDEH GHASSAN R [US] 
DANIELSON RYAN G [US]",TYCO FIRE & SECURITY GMBH [CH],US12242937B1,2023-04-12,"['G05B23/02', 'G06N20/00']","['G05B23/0243 (EP,US)', 'G06N20/00 (EP,US)', 'G06N3/044 (EP)', 'G06N3/045 (EP)', 'G06N3/047 (EP)', 'G06N3/08 (EP)', 'G05B23/0275 (EP,US)', 'G06N3/0475 (EP,US)']",2025-03-04,2024-10-31,93215635,2025-03-04,,US12242937B1,,US,,2025,2023,CH,"['US', 'WO']","['US12181844B2', 'US12242937B1', 'US2024345551A1', 'US2024345554A1', 'US2024345560A1', 'US2024345573A1', 'US2024345914A1', 'US2024346036A1', 'US2024346060A1', 'US2024346311A1', 'US2024346458A1', 'US2024346459A1', 'US2024346611A1', 'US2024362544A1', 'US2024377792A1', 'WO2024215877A1']",CONTROLLING REGULATING,"['Control Systems', 'Engineering']",TYCO FIRE & SECURITY GMBH [CH],,Company - General,Unknown
7,8,Generative AI equipment operation and maintenance management system and method,"LEI CHANGHUA 
ZHANG SUYI",SUZHOU HUAKANG MEDICAL TECH CO LTD,"CN117891688A 
CN117891688B",2024-01-11,"['G06F11/30', 'G06F18/2433']","['G06F11/3055 (CN)', 'G06F11/3058 (CN)', 'G06F18/2433 (CN)']","2024-04-16 
2024-09-27",2024-04-16,90646318,2024-04-16,2024-09-27,CN117891688A,"
CN117891688B",CN,"
",2024,2024,,['CN'],"['CN117891688A', 'CN117891688B']",COMPUTING CALCULATING OR COUNTING,"['Computer Science', 'Mathematics']",SUZHOU HUAKANG MEDICAL TECH CO LTD,,Company - Limited,Unknown
8,9,GENERATION OF SIMPLIFIED SECURITY SOFTWARE INTERACTION AND SUMMARIES USING GENERATIVE AI,"WUEST CANDID [CH] 
BELL SERG [SG] 
PROTASOV STANISLAV [SG]",ACRONIS INT GMBH [CH],US2025094572A1,2023-09-15,"['G06F21/55', 'G06N3/08']","['G06F21/554 (EP,US)', 'G06N3/08 (EP,US)', 'G06F2221/034 (EP,US)']",2025-03-20,2025-03-20,94975284,2025-03-20,,US2025094572A1,,US,,2025,2023,CH,['US'],['US2025094572A1'],COMPUTING CALCULATING OR COUNTING,"['Computer Science', 'Mathematics']",ACRONIS INT GMBH [CH],,Company - General,Unknown
9,10,GENERATIVE AI FOR INDUSTRIAL AUTOMATION DESIGN ENVIRONMENT,"CARRARA ANTHONY [US] 
OHLSEN MICHAEL J [US] 
ANAND ASHISH [US] 
MASARIK MATTHEW T [US] 
GREGORY ADAM J [US] 
WENGATZ JUSTIN [US] 
RICHTER DANIEL T [US] 
BAHADER OMAR A [US] 
MAJEWSKI LORENZO [US] 
NADER ELIE [CA] 
FERNANDES FABIANO [US] 
JOSIPOVIC SRDJAN [US]",ROCKWELL AUTOMATION TECH INC [US],US2025085700A1,2023-09-07,['G05B19/418'],"['G05B19/4183 (EP,US)', 'G05B19/41885 (EP,US)']",2025-03-13,2025-03-13,94872421,2025-03-13,,US2025085700A1,,US,,2025,2023,US,['US'],['US2025085700A1'],CONTROLLING REGULATING,"['Control Systems', 'Engineering']",ROCKWELL AUTOMATION TECH INC [US],,Company - Incorporated/Corporation,Unknown
