Name,Abbr Name,subcategory,Field,JIF5Years,Threshold
CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,ONCOLOGY,Medicine,297.0,1.0
NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,PHARMACOLOGY & PHARMACY,Medicine,114.9,1.0
LANCET,LANCET,"MEDICINE, GENERAL & INTERNAL",Medicine,106.9,1.0
NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,"MEDICINE, GENERAL & INTERNAL",Medicine,94.3,1.0
BMJ-British Medical Journal,BMJ-BRIT MED J,"MEDICINE, GENERAL & INTERNAL",Medicine,69.9,1.0
NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,CELL BIOLOGY,Biology,115.5,1.0
Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,ONCOLOGY,Medicine,81.5,1.0
Nature Reviews Materials,NAT REV MATER,NANOSCIENCE & NANOTECHNOLOGY,Materials Science,85.7,1.5
Nature Reviews Disease Primers,NAT REV DIS PRIMERS,"MEDICINE, GENERAL & INTERNAL",Medicine,92.6,1.0
NATURE REVIEWS CANCER,NAT REV CANCER,ONCOLOGY,Medicine,77.2,1.0
NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,MICROBIOLOGY,Biology,81.3,1.0
NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,IMMUNOLOGY,Medicine,78.1,1.0
Foundations and Trends in Machine Learning,FOUND TRENDS MACH LE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Computer Science,70.8,0.8
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,"MEDICINE, GENERAL & INTERNAL",Medicine,66.8,1.0
World Psychiatry,WORLD PSYCHIATRY,PSYCHIATRY,Medicine,55.5,1.0
NATURE MEDICINE,NAT MED,"MEDICINE, RESEARCH & EXPERIMENTAL",Medicine,59.2,1.0
ANNALS OF ONCOLOGY,ANN ONCOL,ONCOLOGY,Medicine,38.2,1.0
CHEMICAL REVIEWS,CHEM REV,"CHEMISTRY, MULTIDISCIPLINARY",Chemistry,63.5,1.5
NATURE,NATURE,MULTIDISCIPLINARY SCIENCES,Mathematics,54.4,0.7
Nature Reviews Methods Primers,NAT REV METHOD PRIME,MULTIDISCIPLINARY SCIENCES,Mathematics,50.1,0.7
Nature Energy,NAT ENERGY,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,62.3,1.5
Nature Reviews Earth & Environment,NAT REV EARTH ENV,"GEOSCIENCES, MULTIDISCIPLINARY",Geology,54.5,0.8
CANCER CELL,CANCER CELL,ONCOLOGY,Medicine,42.1,1.0
LANCET NEUROLOGY,LANCET NEUROL,CLINICAL NEUROLOGY,Medicine,51.6,1.0
Nature Reviews Gastroenterology & Hepatology,NAT REV GASTRO HEPAT,GASTROENTEROLOGY & HEPATOLOGY,Medicine,65.1,1.0
REVIEWS OF MODERN PHYSICS,REV MOD PHYS,"PHYSICS, MULTIDISCIPLINARY",Physics,52.1,1.0
CELL,CELL,CELL BIOLOGY,Biology,49.0,1.0
Nature Reviews Physics,NAT REV PHYS,"PHYSICS, MULTIDISCIPLINARY",Physics,44.6,1.0
SCIENCE,SCIENCE,MULTIDISCIPLINARY SCIENCES,Mathematics,50.3,0.7
Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,ENDOCRINOLOGY & METABOLISM,Medicine,38.2,1.0
eScience,ESCIENCE,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,42.9,1.5
Nature Catalysis,NAT CATAL,"CHEMISTRY, PHYSICAL",Chemistry,47.0,1.5
JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,ONCOLOGY,Medicine,37.4,1.0
Nature Reviews Cardiology,NAT REV CARDIOL,CARDIAC & CARDIOVASCULAR SYSTEMS,Medicine,46.5,1.0
LANCET ONCOLOGY,LANCET ONCOL,ONCOLOGY,Medicine,42.2,1.0
Signal Transduction and Targeted Therapy,SIGNAL TRANSDUCT TAR,CELL BIOLOGY,Biology,40.5,1.0
CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,"CHEMISTRY, MULTIDISCIPLINARY",Chemistry,48.1,1.5
NATURE REVIEWS GENETICS,NAT REV GENET,GENETICS & HEREDITY,Biology,52.3,1.0
Lancet Respiratory Medicine,LANCET RESP MED,RESPIRATORY SYSTEM,Medicine,41.3,1.0
Joule,JOULE,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,44.8,1.5
Nature Nanotechnology,NAT NANOTECHNOL,NANOSCIENCE & NANOTECHNOLOGY,Materials Science,39.6,1.5
Nature Reviews Chemistry,NAT REV CHEM,"CHEMISTRY, MULTIDISCIPLINARY",Chemistry,39.6,1.5
EUROPEAN HEART JOURNAL,EUR HEART J,CARDIAC & CARDIOVASCULAR SYSTEMS,Medicine,32.6,1.0
MMWR Surveillance Summaries,MMWR SURVEILL SUMM,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Medicine,30.2,1.0
NATURE MATERIALS,NAT MATER,"PHYSICS, CONDENSED MATTER",Physics,44.0,1.0
LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,INFECTIOUS DISEASES,Medicine,32.4,1.0
NATURE METHODS,NAT METHODS,BIOCHEMICAL RESEARCH METHODS,Chemistry,45.6,1.5
CIRCULATION,CIRCULATION,PERIPHERAL VASCULAR DISEASE,Medicine,32.7,1.0
ADVANCES IN PHYSICS,ADV PHYS,"PHYSICS, CONDENSED MATTER",Physics,41.3,1.0
IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,TELECOMMUNICATIONS,Engineering,34.0,1.5
Nature Electronics,NAT ELECTRON,"ENGINEERING, ELECTRICAL & ELECTRONIC",Engineering,39.2,1.5
PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,41.2,1.5
Innovation,INNOVATION-AMSTERDAM,MULTIDISCIPLINARY SCIENCES,Mathematics,31.8,0.7
NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,Biology,56.9,1.0
Energy & Environmental Science,ENERG ENVIRON SCI,ENVIRONMENTAL SCIENCES,Environmental Science,34.5,0.5
Nature Photonics,NAT PHOTONICS,"PHYSICS, APPLIED",Physics,35.8,1.0
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,THERMODYNAMICS,Physics,36.8,1.0
NATURE GENETICS,NAT GENET,GENETICS & HEREDITY,Biology,36.6,1.0
Nano-Micro Letters,NANO-MICRO LETT,"PHYSICS, APPLIED",Physics,26.0,1.0
MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,"PHYSICS, APPLIED",Physics,34.3,1.0
Nature Reviews Endocrinology,NAT REV ENDOCRINOL,ENDOCRINOLOGY & METABOLISM,Medicine,46.8,1.0
Lancet Gastroenterology & Hepatology,LANCET GASTROENTEROL,GASTROENTEROLOGY & HEPATOLOGY,Medicine,29.6,1.0
Lancet Psychiatry,LANCET PSYCHIAT,PSYCHIATRY,Medicine,36.8,1.0
Physiological Reviews,PHYSIOL REV,PHYSIOLOGY,Biology,45.0,1.0
Cancer Discovery,CANCER DISCOV,ONCOLOGY,Medicine,32.4,1.0
Nature Climate Change,NAT CLIM CHANGE,METEOROLOGY & ATMOSPHERIC SCIENCES,Environmental Science,31.1,0.5
Journal of Hematology & Oncology,J HEMATOL ONCOL,ONCOLOGY,Medicine,26.9,1.0
Nature Reviews Rheumatology,NAT REV RHEUMATOL,RHEUMATOLOGY,Medicine,30.6,1.0
NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,NEUROSCIENCES,Biology,37.4,1.0
Advanced Powder Materials,ADV POWDER MATER,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,28.6,1.5
Nature Reviews Nephrology,NAT REV NEPHROL,UROLOGY & NEPHROLOGY,Medicine,40.0,1.0
Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,PATHOLOGY,Medicine,35.2,1.0
Electrochemical Energy Reviews,ELECTROCHEM ENERGY R,ELECTROCHEMISTRY,Chemistry,30.1,1.5
Nature Reviews Neurology,NAT REV NEUROL,CLINICAL NEUROLOGY,Medicine,43.7,1.0
CELL RESEARCH,CELL RES,CELL BIOLOGY,Biology,36.4,1.0
ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,ASTRONOMY & ASTROPHYSICS,Physics,29.1,1.0
Cell Metabolism,CELL METAB,ENDOCRINOLOGY & METABOLISM,Medicine,31.2,1.0
Molecular Cancer,MOL CANCER,ONCOLOGY,Medicine,31.3,1.0
NATURE IMMUNOLOGY,NAT IMMUNOL,IMMUNOLOGY,Medicine,28.3,1.0
ADVANCED MATERIALS,ADV MATER,"PHYSICS, CONDENSED MATTER",Physics,30.2,1.0
eLight,ELIGHT,OPTICS,Physics,27.2,1.0
INTENSIVE CARE MEDICINE,INTENS CARE MED,CRITICAL CARE MEDICINE,Medicine,24.0,1.0
Annual Review of Immunology,ANNU REV IMMUNOL,IMMUNOLOGY,Medicine,32.0,1.0
JOURNAL OF HEPATOLOGY,J HEPATOL,GASTROENTEROLOGY & HEPATOLOGY,Medicine,28.0,1.0
Nature Biomedical Engineering,NAT BIOMED ENG,"ENGINEERING, BIOMEDICAL",Engineering,29.2,1.5
Living Reviews in Relativity,LIVING REV RELATIV,"PHYSICS, PARTICLES & FIELDS",Physics,37.9,1.0
Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,ASTRONOMY & ASTROPHYSICS,Physics,36.7,1.0
Science Robotics,SCI ROBOT,ROBOTICS,Engineering,33.7,1.5
PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,POLYMER SCIENCE,Materials Science,29.5,1.5
Gastroenterology,GASTROENTEROLOGY,GASTROENTEROLOGY & HEPATOLOGY,Medicine,25.2,1.0
Nature Sustainability,NAT SUSTAIN,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,Environmental Science,29.9,0.5
Immunity,IMMUNITY,IMMUNOLOGY,Medicine,33.2,1.0
Lancet Public Health,LANCET PUBLIC HEALTH,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Medicine,29.9,1.0
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,MMWR-MORBID MORTAL W,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Medicine,18.5,1.0
Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,"PHYSICS, FLUIDS & PLASMAS",Physics,26.8,1.0
EUROPEAN UROLOGY,EUR UROL,UROLOGY & NEPHROLOGY,Medicine,19.4,1.0
REVIEWS OF GEOPHYSICS,REV GEOPHYS,GEOCHEMISTRY & GEOPHYSICS,Geology,32.5,0.8
Advances in Optics and Photonics,ADV OPT PHOTONICS,OPTICS,Physics,25.8,1.0
