No,Title,Inventors,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number,first publication date,second publication date,first publication number,second publication number,first publication country,second publication country,first filing year,earliest priority year,applicant country,first applicant,second applicant,first applicant type,second applicant type,Patent Age,patent cost,Patent Value,Market Rate,Mean Value,citations IPC
1,Plug-in hybrid vehicle with fast energy storage,"BENDER DONALD A [US] 
DESHMANE ATUL [US] 
MEANS ANDREW E [US]",US2006250902A1,2005-05-05,['H04B1/20'],"['B60K6/20 (KR)', 'B60K6/28 (KR)', 'B60K6/30 (EP,US)', 'B60K6/46 (EP,US)', 'B60K6/48 (EP,US)', 'B60K6/52 (EP,US)', 'B60K6/54 (EP,US)', 'B60L15/007 (EP,US)', 'B60L50/15 (EP,US)', 'B60L50/16 (EP,US)', 'B60L50/61 (EP,US)', 'B60L50/62 (EP,US)', 'B60L53/14 (EP,US)', 'B60L53/30 (EP,US)', 'B60L55/00 (EP,US)', 'B60L58/20 (EP,US)', 'H04B1/20 (KR)', 'B60K1/02 (EP,US)', 'B60L2260/28 (EP,US)', 'Y02E60/00 (EP,US)', 'Y02T10/62 (EP,US)', 'Y02T10/64 (EP,US)', 'Y02T10/70 (EP,US)', 'Y02T10/7072 (EP,US)', 'Y02T90/12 (EP,US)', 'Y02T90/14 (EP,US)', 'Y02T90/16 (US)', 'Y04S10/126 (EP,US)']",2006-11-09,2006-11-09,37397092,2006-11-09,,US2006250902A1,,US,,2006,2005,US,AFS TRINITY POWER CORP [US],,Company - General,Unknown,20,1500.0,1500.0,5190.485829959514,5190.485829959514,"['B60K1/00, B60K6/00, B60K6/28, B60K6/52, B60L11/00, B60L50/10, B60L50/15, B60W10/08, B60W10/26, B60W20/00', 'B60K6/04, B60K6/442, B60K6/48, B60W10/06, B60W10/08, B60W10/18, B60W10/26, B60W20/00', 'H02M3/24, H02M3/335, H02M3/335, H02M7/48', 'B60K1/00, B60L11/18', 'H02P9/04, B60K1/00, B60K6/20, B60K6/28, B60K6/445, B60L11/18, B60L15/20, B60L50/16, B60W10/06, B60W10/08, B60W10/26, B60W20/00, F02D17/00, F02D29/02, F02D29/06, F02D31/00, F02D41/14, F02D41/22, F02D45/00, F02N11/04, B60K1/02', 'H02P9/04, B60K6/00, F02M11/06, B60K6/20, B60K6/28, B60K6/445, B60L11/18, B60L15/20, B60L50/16, B60W10/06, B60W10/08, B60W10/26, B60W20/00, F02D17/00, F02D29/02, F02D29/06, F02D31/00, F02D41/14, F02D41/22, F02D45/00, F02N11/04, B60K1/02', 'B60L11/18, H02J7/00', 'B60K6/02, B60K6/40, B60K6/442, B60L50/15, B60W10/06, B60W10/08, B60W20/00', 'B60K1/04, B60K21/08, F16H37/00, B60K6/365, B60K6/445, B60W10/06, B60W10/08, B60W10/26, B60W20/00, F16H33/00, F16H37/00', 'B60K1/00, B60K41/04, F16H37/06, B60K6/10, F16H3/72, F16H33/02, B60K17/356', 'B60K1/04, B60K6/10, B60K6/30, B60K1/04, B60K6/20', 'B60K1/04, B60K6/04, B60K6/28, B60K6/46, B60L11/00, B60L11/18, B60L50/15, B60L7/10, B60T1/10, B60W10/06, B60W10/08, B60W10/26, B60W20/00, B60W30/18, H02J7/00, H02J9/06', 'B06L1/00, H01M12/00, H02J7/00, H02J7/00, H02J7/14, B60R16/02, B60R16/03', 'B60K6/02, H02P9/04, B60K17/04, B60K6/20, B60K6/44, B60K6/52, B60K6/543, B60K6/547, B60L7/12, B60L7/20, B60W10/08, B60W10/10, B60W10/18, B60W20/00, F16H61/02, F16H59/14, F16H59/44, F16H59/54, F16H59/70', 'H02P9/16, H02P9/20, B60T8/64, B60K1/00, B60K40/02, B60L11/00, B60P9/04, B60K17/356, B60K23/08, B60K25/00, B60K6/44, B60K6/52, B60L15/20, B60L50/16, B60L7/10, B60L7/20, B60T1/10, B60T13/58, B60T7/00, B60T8/17, B60T8/1766, B60T8/1769, B60T8/26, B60W10/08, B60W10/18, B60W20/00, F02D29/02']"
2,Electric vehicle wireless charging system through hydrogen power generation,SON JEONG KI [KR],KR20230163874A,2022-05-24,"['B60L53/12', 'B60L53/38', 'B60L53/54', 'B60L53/66', 'B60L53/68', 'G06Q20/14', 'G06Q50/30']","['B60L53/12 (KR)', 'B60L53/38 (KR)', 'B60L53/54 (KR)', 'B60L53/665 (KR)', 'B60L53/68 (KR)', 'G06Q20/145 (KR)', 'G06Q50/40 (KR)', 'B60Y2200/91 (KR)', 'Y02T90/12 (KR)']",2023-12-01,2023-12-01,89124565,2023-12-01,,KR20230163874A,,KR,,2023,2022,KR,SON JEONG KI [KR],,Individual Inventor,Unknown,3,4000.0,4000.0,5190.485829959514,5190.485829959514,"['B60L11/18, B60M7/00, H01M10/44, H02J3/32, H02J7/00, H02J7/02, H02J7/34', 'G06Q50/00, B60L11/18, H02J7/00', 'B60L11/18, G06Q50/30, H02J7/02', 'B60L53/10, B60L53/18, B60L53/35, F16H7/02, F16H7/06']"
3,Electric vehicle charging system using hydrogen fuel cell,HONG SEONG HO,KR102511391B1,2022-09-20,"['B60L3/00', 'B60L53/16', 'B60L53/51', 'B60L53/54', 'B60L53/57', 'B60L58/30', 'H01M8/04082', 'H05K7/20']",['Y02T10/70 (EP)'],2023-03-20,2023-03-20,85796535,2023-03-20,,KR102511391B1,,KR,,2023,2022,KR,HOGREENAIR CO LTD [KR],,Company - Limited,Unknown,3,4000.0,4000.0,5190.485829959514,5190.485829959514,"['B60L53/10, B60L53/24, B60L53/66, H02H5/04, H02H7/18, H02M3/00, H02M7/44', 'B60L53/10, B60L53/24, B60L53/66, H02H5/04, H02H7/18, H02M3/00, H02M7/44', 'F17C11/00, H01M8/04', 'C25B1/04, H01M10/44, H01M10/48, H01M8/00, H01M8/04, H02J15/00, H02J3/32, H02J3/38', 'B60K15/03, B60L3/00, B60L50/72, B60L53/30, B60P3/22']"
5,ESS SYSTEM FOR CHARGING FUEL CELL ELECTRIC VEHICLE AND ELECTRIC VEHICLE,"MUN TAEEUN [KR] 
CHAE HO BYUNG [KR] 
SHIN JONG HOON [KR]",US2022140365A1,2020-11-02,"['H01M16/00', 'H01M8/04828', 'H02J7/34']","['B60K15/03006 (KR)', 'B60L53/20 (KR)', 'B60L53/50 (KR)', 'B60L58/12 (KR)', 'B60L58/31 (KR)', 'H01M10/425 (EP)', 'H01M16/003 (US)', 'H01M16/006 (EP,KR)', 'H01M8/0494 (EP,US)', 'H01M8/04992 (EP)', 'H01M8/186 (KR)', 'H02J7/34 (EP,KR,US)', 'B60K2015/03315 (KR)', 'B60L2210/30 (KR)', 'B60Y2200/91 (KR)', 'H01M2010/4271 (EP)', 'H01M2220/10 (EP,KR)', 'H01M2220/20 (EP)', 'H01M2250/10 (EP,KR)', 'H01M2250/20 (EP,US)', 'H01M8/0494 (KR)', 'H02J2207/20 (EP,KR)', 'H02J2300/30 (EP)', 'Y02E60/10 (EP)', 'Y02E60/36 (EP)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP,KR)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)', 'Y02T90/40 (EP,KR)']",2022-05-05,2021-03-17,75243546,2022-05-05,,US2022140365A1,,US,,2022,2020,KR,SIGNET EV INC [KR] ,SIGNET ENERGY [KR],Company - Incorporated/Corporation,Energy Company,5,7000.0,7000.0,5190.485829959514,5190.485829959514,"['B60L50/75, B60L53/30, B60L53/53, B60L53/54, F17D1/04, H02J7/02', 'H01M16/00, H01M8/04537, H01M8/04955, H02J1/10', 'C25B15/02, C25B9/18, H01M8/04', 'B60L50/70, B60L53/10, B60L53/54, H01M8/04082', 'H01M8/04, H01M8/10, H01M8/18, H01M16/00, H01M8/04, H01M8/06, H01M8/18, H01M8/10, H01M8/10, H01M8/12', 'C25B1/04, C25B9/00, H01M8/00, H01M8/04, H01M8/06, H01M8/12', 'H01M10/46, H01M8/04, H02M3/00', 'H01M4/86, H01M4/92, H01M8/0232, H01M8/0245, H01M8/0252, H01M8/0271, H01M8/04082, H01M8/18, H01M8/241', 'F24J2/00, F24S23/30, F24S50/20, H02J7/00, H02S10/20, H02S40/44, B60S5/02', 'C25B1/04, H01M10/44, H02J7/35', 'B64B1/24, B64D27/24, B64C39/02, B64D27/24, H01M16/00, H01M8/12']"
6,Method for quickly charging electric vehicle lead-acid storage battery,"CHENG HUANGREN 
HAN YIXI 
LI QINGBAO 
ZHAO XI",CN108550935A,2018-04-19,['H01M10/44'],"['H01M10/445 (CN)', 'Y02E60/10 (EP)']",2018-09-18,2018-09-18,63515557,2018-09-18,,CN108550935A,,CN,,2018,2018,,TIANJIN YADI IND CO LTD,,Company - Limited,Unknown,7,2000.0,2000.0,5190.485829959514,5190.485829959514,"['H01M10/44', 'H01M10/44, H02J7/00', 'H01M10/44, H02J7/02, H02J7/00, H02J7/04', 'H01M10/44, H02J7/00']"
7,Stable Charging Device for Methanol Hydrogen Production Electric Vehicle,CHEN JIEPING,"CN109263516A 
CN109263516B",2018-10-30,"['B60L58/31', 'H01M8/04082', 'H01M8/0612']","['H01M8/04201 (CN)', 'H01M8/0618 (CN)', 'H01M8/0625 (CN)', 'Y02E60/50 (EP)', 'Y02T90/40 (EP)']","2019-01-25 
2024-03-15",2019-01-25,65194032,2019-01-25,2024-03-15,CN109263516A,CN109263516B,CN,CN,2019,2018,,ZHEJIANG QINGGU NEW ENERGY AUTOMOBILE CO LTD,,Company - Limited,Unknown,7,2000.0,2000.0,5190.485829959514,5190.485829959514,"['H02J7/00', 'B60L11/18', '', 'B60L1/00, B60L11/18, B60L15/00', 'B60L11/18, H01M10/44, H01M10/48, H02J7/00, B60L58/10, B60L58/12', 'B60L11/00, B60L11/18, H01M8/04007, H01M8/04089, H01M8/0432, H01M8/0438, H01M8/04537, H01M8/04694, H01M8/0606, H01M8/1007', 'B60L50/71, B60L50/72, B60L50/75, H01M8/04082, H01M8/0612']"
8,AUTOMATIC CHARGING SYSTEM FOR ELECTRIC VEHICLE,CHEN WEN-LO [TW],US2013093378A1,2011-10-17,['H02J7/00'],"['B60L50/72 (EP,US)', 'B60L58/40 (EP,US)', 'B60L8/00 (EP,US)', 'C25B1/04 (EP,US)', 'C25B15/02 (EP,US)', 'C25B15/08 (EP,US)', 'H01M16/003 (EP,US)', 'H01M16/006 (EP,US)', 'H01M8/0656 (EP,US)', 'H01M2220/20 (EP,US)', 'H01M2250/20 (EP,US)', 'H02J2310/48 (EP)', 'Y02E60/10 (EP)', 'Y02E60/36 (EP,US)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP,US)', 'Y02T90/40 (EP,US)']",2013-04-18,2013-04-18,48085546,2013-04-18,,US2013093378A1,,US,,2013,2011,TW,CHEN WEN-LO [TW],,Individual Inventor,Unknown,14,1500.0,1500.0,5190.485829959514,5190.485829959514,"['C02F1/46, C25B1/04, C25B1/06, H01M8/06, H01M8/22, C25B9/00, C25C7/00, C25D17/00, C02F1/469, C25B1/04, H01M8/04, H01M8/06, H01M8/18, C02F1/461, H01M16/00', 'H01M10/46, H01M16/00, H01M8/04, G05B19/00, H01M10/46, H01M16/00, H01M8/00, H01M8/04, H02H3/24, H02J3/28, H02J3/38, H02J9/06', 'H01M8/00, B60L11/18, B60L8/00, H01M8/00, H01M8/02, H01M8/04, H01M8/06, H01M8/10', 'F01B21/04, F01K23/00, F02B73/00, B63H21/20, B63H21/20, F01B21/04, F01K23/00, F01K25/00, F02B73/00', 'H01M16/00, H01M8/00, H01M8/04, H01M8/18, H02J3/38, H02J7/34, H02J9/06, H01M8/06', 'B63H11/14, B63H11/00', 'B63H13/00, F03D11/04, F03D9/00, F03D9/02, H02P9/04, B63C7/00', 'B64C3/38, B64C3/50', 'H01M8/06']"
11,Motor driving and lithium battery charging integrated method for hybrid electric vehicle,"CHEN JING 
TIAN SHAOPENG 
XIAO CHUN 
WANG YUNING 
YANG CAN 
QIN GUOFENG 
LI ZHIHUA 
GUO ZHENGYANG",CN112606713A,2020-12-10,"['B60L50/75', 'B60L58/40', 'H02J7/02', 'H02P27/06']","['B60L50/75 (CN)', 'B60L58/40 (CN)', 'H02J7/02 (CN)', 'H02P27/06 (CN)', 'B60L2210/10 (CN)', 'B60L2210/30 (CN)', 'Y02T10/64 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']",2021-04-06,2021-04-06,75232631,2021-04-06,,CN112606713A,,CN,,2021,2020,,FOSHAN XIANHU LABORATORY,,University/Research Institution,Unknown,5,2000.0,2000.0,5190.485829959514,5190.485829959514,"['B60L11/18, H01M8/00, H01M8/04', 'B60L11/18, H01M10/44, H02J7/00, H02J7/35', 'B60K1/02, B60L50/50, B60L7/02, H02J1/10, H02J7/00, H02J7/34', 'B60L50/75, B60L58/40, H02J7/02, H02P27/06']"
12,HYDROGEN HYBRID ELECTRIC VEHICLE,"AHMAD REZAL KHAIRI BIN [MY] 
ZOLKIPLI MOHAMAD HAFIZ BIN [MY] 
ABDULLAH MOHAMAD SHAZWAN BIN [MY] 
SULAIMAN MOHD TAUFIK BIN [MY] 
PARDAMAN SINGH JAGJEET SINGH A/L [MY]",WO2023128748A1,2021-12-27,"['B60K6/26', 'B60K6/28', 'B60L15/20', 'B60L53/24', 'B60L58/40']","['B60K6/28 (EP)', 'B60K6/32 (EP)', 'B60K6/48 (EP)', 'B60L50/40 (EP)', 'B60L58/12 (EP)', 'B60L58/40 (EP)', 'H01M10/0525 (EP)', 'H01M16/003 (EP)', 'H01M16/006 (EP)', 'H01M4/583 (EP)', 'H01M8/0606 (EP)', 'H01M8/1004 (EP)', 'H01M2220/20 (EP)', 'H01M2250/20 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']",2023-07-06,2023-07-06,86999818,2023-07-06,,WO2023128748A1,,WO,,2023,2021,MY,NANOMALAYSIA BERHAD [MY],,Material Science/Nanotechnology Company,Unknown,4,12000.0,12000.0,5190.485829959514,5190.485829959514,"['B60K1/02, B60K1/04, B60L11/00, B60L11/18, B64C27/12, B64C27/82', 'B01J19/00, H01M8/18, B01J7/00, B01J7/02, C01B3/00, C01B3/02, C01B3/04, C01B3/06, C01B3/08, H01M8/06', 'B60L1/00, B60L1/02, B60L58/26, B60L58/27, H01M10/42, H01M10/48, H01M12/06, H01M16/00, H01M4/62, H01M50/77', 'B60L11/18', 'B60L58/12, B60L58/40, G06F17/15']"
15,SYSTEM AND METHDO FOR CONTROLLING HYDROGEN ELECTRIC VEHICLE FOR USING AUXILIARY BREAK,SHIN JIN CHEOL,KR20210053589A,2019-11-04,"['B60L58/12', 'B60L58/40', 'B60L7/10', 'B60T13/74']","['B60L58/12 (KR)', 'B60L58/40 (KR)', 'B60L7/10 (KR)', 'B60T13/74 (KR)', 'B60L2240/62 (KR)', 'B60T2201/03 (KR)', 'B60T2270/60 (KR)', 'B60Y2200/91 (KR)', 'Y02T10/70 (EP,KR)', 'Y02T10/72 (EP)']",2021-05-12,2021-05-12,75918832,2021-05-12,,KR20210053589A,,KR,,2021,2019,KR,HYUNDAI MOTOR CO LTD [KR] ,KIA CORP [KR],Company - Limited,Company - General,6,4000.0,4000.0,5190.485829959514,5190.485829959514,"['B60L11/18', 'B60L11/18, B60L15/20, B60L7/10']"
