No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number,Unnamed: 11,first publication date,second publication date,first publication number,second publication number,family_jurisdictions,family_members
1,AUTONOMOUS GANGED VEHICLES,"HIGH DONALD R [US] 
WINKLE DAVID C [US] 
ATCHLEY MICHAEL D [US] 
MCHALE BRIAN G [GB] 
ANTEL NICHOLAS RAY [US] 
O'BRIEN JOHN J [US] 
MATTINGLY TODD D [US] 
JONES NATHAN G [US]","WAL MART STORES INC [US] 
WALMART APOLLO LLC [US]","US10254766B2 
US2018129223A1",2016-11-09,"G05D1/00 
G05D1/02 
B64C1/20","G05D1/0022 (GB,US) 
G05D1/0027 (GB,US) 
G05D1/0202 (GB,US) 
G05D1/0206 (GB,US) 
G05D1/0212 (GB,US) 
G05D1/0295 (EP,GB,US)","2018-05-10 
2019-04-09",2018-05-10,62065506,,2018-05-10,2019-04-09,US10254766B2,"
US2018129223A1","['CA', 'GB', 'MX', 'US', 'WO']","['CA3042744A1', 'GB201907387D0', 'GB2570843A', 'MX2019005363A', 'US10254766B2', 'US2018129223A1', 'US2019196506A1', 'WO2018089245A1']"
2,Method of communication of travel destination information between user and a plural vehicle transport system,"SCHUSTER KILIAN [CH] 
FRIEDLI PAUL [CH]",INVENTIO AG [CH],US6394231B1,1999-04-22,"B66B1/18 
B66B3/00 
B66B9/16","B66B3/00 (EP,US) 
B66B3/006 (EP,US)",2002-05-28,2000-10-22,8242784,,2002-05-28,,US6394231B1,,"['AT', 'CA', 'DE', 'EP', 'JP', 'US']","['ATE271512T1', 'CA2306359A1', 'CA2306359C', 'DE50007101D1', 'EP1046605A1', 'EP1046605B1', 'JP2000335839A', 'JP2012006764A', 'US6394231B1']"
3,AUTONOMOUS UNMANNED UNDERWATER VEHICLES,"LICHTER HARRY J [US] 
BAKER WAYNE A [US] 
SYLVIA RUSSELL M [US]",LOCKHEED CORP [US],"US10196117B2 
US2017081004A1",2015-09-21,"B63G8/32 
B63G8/00 
B63G8/08 
B63G8/14 
B63G8/16 
B63G8/30","B63G8/001 (EP,US) 
B63G8/08 (US) 
B63G8/14 (EP,US) 
B63G8/16 (EP,US) 
B63G2008/004 (EP,US) 
B63G2008/008 (EP,US) 
B63G8/30 (EP,US)","2017-03-23 
2019-02-05",2017-03-23,58276622,,2017-03-23,2019-02-05,US10196117B2,"
US2017081004A1","['US', 'WO']","['US10106233B2', 'US10196117B2', 'US2017081002A1', 'US2017081004A1', 'US2017081005A1', 'WO2017053445A1']"
4,DISPATCH SYSTEM FOR AUTONOMOUS VEHICLES,"HUANG SHIH-CHIA [TW] 
JIAU MING-KAI [TW] 
CHOU SHENG-KAI [TW]",UNIV NAT TAIPEI TECHNOLOGY [TW],"US2017059336A1 
US9772197B2",2015-08-31,"G01C21/34 
G05D1/02 
G06Q10/08 
G06Q10/04 
G06Q10/06 
G08G1/00","G01C21/34 (US) 
G01C21/343 (EP,US) 
G05D1/0297 (EP,US) 
G06Q10/047 (EP,CN,US) 
G06Q10/0631 (EP,US) 
G06Q10/08 (CN) 
G06Q50/40 (EP,US) 
G08G1/20 (US) 
G08G1/202 (EP,US)","2017-03-02 
2017-09-26",2017-03-01,58104312,,2017-03-02,2017-09-26,US2017059336A1,"
US9772197B2","['CN', 'TW', 'US']","['CN106485340A', 'TW201708996A', 'TWI611279B', 'US2017059336A1', 'US9772197B2']"
5,INTELLIGENT COLLABORATION BETWEEN AUTONOMOUS AND NON-AUTONOMOUS VEHICLES,"RAKSHIT SARBAJIT K [IN] 
JAKKULA SATYAM [IN] 
SAR SUDHANSHU SEKHER [IN] 
KAIRALI SUDHEESH S [IN]",IBM [US],US2024242599A1,2023-01-13,"B60K35/00 
B64C39/02 
B64U20/87 
G08G1/01","B60K35/00 (EP,US) 
B64C39/024 (EP,US) 
B64U20/87 (EP,US) 
G05D1/104 (US) 
G08G1/0141 (EP,US) 
B60K35/23 (EP,US) 
B64U2101/20 (US) 
B64U2101/30 (US)",2024-07-18,2024-07-18,91854893,,2024-07-18,,US2024242599A1,,['US'],['US2024242599A1']
6,IDENTIFYING SUSPICIOUS ENTITIES USING AUTONOMOUS VEHICLES,"GOLOV GIL [DE] 
SZUBBOCSEV ZOLTAN [DE]","MICRON TECHNOLOGY INC [US] 
LODESTAR LICENSING GROUP LLC [US]","US11836985B2 
US2020387722A1",2018-01-29,"G06K9/00 
G06K9/32 
G05D1/00 
G05D1/02 
G06N3/04 
G06V20/00 
G06V20/56 
G06V20/58 
G06V20/62","G05D1/0088 (US) 
G05D1/0291 (US) 
G06N3/04 (US) 
G06N3/045 (EP) 
G06N3/08 (EP) 
G06V20/56 (US) 
G06V20/58 (EP,US) 
G06V20/63 (US)","2020-12-10 
2023-12-05",2019-08-01,67393554,,2020-12-10,2023-12-05,US11836985B2,"
US2020387722A1",['US'],"['US10755111B2', 'US11836985B2', 'US2019236379A1', 'US2020387722A1', 'US2024046653A1']"
7,COMPUTATION SERVICE BY AUTONOMOUS VEHICLES,"KARRI VENKATA VARA PRASAD [IN] 
RAKSHIT SARBAJIT K [IN] 
PULUPULA VENKATA SAMPATH KUMAR [IN] 
YAMALA KAMAL KIRAN TROOD [IN]",IBM [US],"US12056529B2 
US2023088692A1",2021-09-21,"B60W50/06 
B60W60/00 
G01C21/34 
G01C21/36 
G06F9/50 
G07C5/02","B60W50/06 (US) 
B60W60/001 (US) 
G01C21/3453 (US) 
G01C21/3691 (US) 
G06F9/5027 (US) 
G06F9/505 (EP) 
G06F9/5072 (EP,US) 
G07C5/02 (US) 
B60W2555/20 (US) 
G01C21/3415 (EP) 
G01C21/3461 (EP) 
G06F2209/5019 (EP)","2023-03-23 
2024-08-06",2023-03-23,85572298,,2023-03-23,2024-08-06,US12056529B2,"
US2023088692A1","['US', 'WO']","['US12056529B2', 'US2023088692A1', 'WO2023045493A1']"
8,Managing Autonomous Vehicles Needing Energy Replenishment,"BOSTICK JAMES E [US] 
GANCI JR JOHN M [US] 
KEEN MARTIN G [US] 
RAKSHIT SARBAJIT K [IN] 
GANCI JR  JOHN M [US]",IBM [US],"US10216190B2 
US2018081360A1",2016-09-20,"G05D1/00 
G05D1/02 
G01C21/34 
G05D1/12 
G06Q10/04","G01C21/3469 (EP,US) 
G05D1/0088 (US) 
G05D1/0217 (US) 
G05D1/0285 (US) 
G05D1/0297 (EP,US) 
G06Q10/04 (EP,US) 
G06Q10/06313 (EP,US) 
G06Q50/06 (EP,US) 
G06Q50/40 (EP,US)","2018-03-22 
2019-02-26",2018-03-22,61620318,,2018-03-22,2019-02-26,US10216190B2,"
US2018081360A1",['US'],"['US10216190B2', 'US10409285B2', 'US2018081360A1', 'US2018113464A1']"
9,Coordinating Movements of Autonomous Vehicles for Autonomous Vehicle Relocation,HARVEY THOMAS DANAHER [US],LYFT INC [US],US2020125120A1,2015-02-01,"B60W30/06 
G05D1/00 
G05D1/02","B60Q1/5035 (EP,US) 
B60Q1/507 (EP,US) 
B60Q1/508 (EP,US) 
B60W30/06 (EP,US) 
G05D1/0022 (US) 
G05D1/0027 (US) 
G05D1/0088 (US) 
G05D1/0293 (US) 
G05D1/0295 (US) 
G05D1/0297 (EP,US) 
G08G1/20 (US) 
G08G1/22 (US) 
B60Q1/544 (EP,US) 
B60Q1/547 (EP,US) 
E04H6/422 (EP,US) 
G08G1/168 (US)",2020-04-23,2017-02-09,61561192,,2020-04-23,,US2020125120A1,,['US'],"['US10216196B2', 'US10303182B2', 'US10303183B2', 'US10310514B2', 'US10310515B2', 'US10317911B2', 'US10317912B2', 'US10317913B2', 'US10452079B2', 'US11378981B2', 'US11630465B2', 'US2015149022A1', 'US2015370255A1', 'US2016171894A1', 'US2016224028A1', 'US2016274590A1', 'US2017038777A1', 'US2018074513A9', 'US2018299904A1', 'US2018299905A1', 'US2018299906A1', 'US2018307248A1', 'US2018307249A1', 'US2018307250A1', 'US2018307251A1', 'US2018307252A1', 'US2019377364A1', 'US2020004270A1', 'US2020125118A1', 'US2020125119A1', 'US2020125120A1', 'US2020142430A1', 'US9139199B2', 'US9298186B2', 'US9384666B1', 'US9494943B2', 'US9645578B2']"
10,GESTION DE PLUSIEURS VÉHICULES AUTONOMES,"MARCZUK KATARZYNA ANNA [SG] 
ALBERT MARC LARS LJUNGDAHL [SG] 
SPEISER KEVIN [US]","APTIV TECH LTD [BB] 
MOTIONAL AD LLC [US]","EP3605488A1 
EP3605488B1",2018-08-02,"G05D1/02 
G06Q50/30 
G01C21/34 
G06Q10/02 
G06Q10/04 
G08G1/00 
G08G1/005 
G08G1/01 
G08G1/0968 
H04W4/02 
G06Q10/047 
G06Q50/40 
H04W4/40","G01C21/3415 (EP) 
G01C21/3438 (EP) 
G06Q10/02 (EP) 
G06Q10/047 (EP) 
G06Q50/40 (EP) 
G08G1/005 (EP) 
G08G1/0145 (EP) 
G08G1/096811 (EP) 
G08G1/096838 (EP) 
G08G1/096844 (EP) 
G08G1/202 (EP) 
H04W4/02 (EP) 
H04W4/40 (EP) 
G08G1/0129 (EP)","2020-02-05 
2024-12-11",2020-02-05,67438109,,2020-02-05,2024-12-11,EP3605488A1,"
EP3605488B1","['CN', 'DK', 'EP', 'US']","['CN110850866A', 'DK201870686A1', 'EP3605488A1', 'EP3605488B1', 'US2020042019A1']"
