Country,Years 0.0-1.5,Years 2.0-4.5,Years 5.0-9.5,Years 10.0-14.5,Years 15.0-20.0,Total Cost (US$)
US,10500,6000,11500,5000,3000,36000
WO,6000,5800,5200,4000,3500,24500
EP,7600,8900,12000,9000,5100,42600
KR,4000,5000,7500,8400,10500,35400
JP,4000,5000,7500,8400,10500,35400
ID,6000,5800,5200,4000,3500,24500
VN,6000,5800,5200,4000,3500,24500
BR,6000,5800,5200,4000,3500,24500
CN,6000,5800,5200,4000,3500,24500
RU,6000,5800,5200,4000,3500,24500
NO,4600,3800,3000,3500,3500,18400
TH,6000,5800,5200,4000,3500,24500
TR,6000,5800,5200,4000,3500,24500
TW,4000,5000,7500,8400,10500,35400
DE,4600,3800,3000,3500,3500,18400
AT,4600,3800,3000,3500,3500,18400
CZ,4600,3800,3000,3500,3500,18400
AR,6000,5800,5200,4000,3500,24500
HU,4600,3800,3000,3500,3500,18400
NL,4600,3800,3000,3500,3500,18400
FI,4600,3800,3000,3500,3500,18400
MX,6000,5800,5200,4000,3500,24500
MA,6000,5800,5200,4000,3500,24500
SK,4600,3800,3000,3500,3500,18400
SA,6000,5800,5200,4000,3500,24500
PL,4600,3800,3000,3500,3500,18400
HK,4000,5000,7500,8400,10500,35400
IT,4600,3800,3000,3500,3500,18400
DK,4600,3800,3000,3500,3500,18400
PH,6000,5800,5200,4000,3500,24500
PE,6000,5800,5200,4000,3500,24500
SE,4600,3800,3000,3500,3500,18400
CO,6000,5800,5200,4000,3500,24500
MY,4000,5000,7500,8400,10500,35400
ES,4600,3800,3000,3500,3500,18400
PT,4600,3800,3000,3500,3500,18400
FR,4600,3800,3000,3500,3500,18400
AU,3200,2700,3500,2300,2000,13700
SG,4000,5000,7500,8400,10500,35400
EG,6000,5800,5200,4000,3500,24500
GR,4600,3800,3000,3500,3500,18400
IL,4000,5000,7500,8400,10500,35400
CA,3200,2700,3500,2300,2000,13700
VE,6000,5800,5200,4000,3500,24500
PK,6000,5800,5200,4000,3500,24500
IN,1500,2500,2500,3500,4000,14000
GB,4600,3800,3000,3500,3500,18400
IE,4600,3800,3000,3500,3500,18400
CH,4600,3800,3000,3500,3500,18400
BE,4600,3800,3000,3500,3500,18400
CL,6000,5800,5200,4000,3500,24500
BD,6000,5800,5200,4000,3500,24500
LU,6000,5800,5200,4000,3500,24500
NZ,3200,2700,3500,2300,2000,13700
ZA,6000,5800,5200,4000,3500,24500
