Country,Years 0.0-1.5,Years 2.0-4.5,Years 5.0-9.5,Years 10.0-14.5,Years 15.0-20.0,Total Cost (US$)
US,10500,6000,11500,5000,3000,36000
WO,5400,4900,4100,1500,1000,16900
EP,7600,8900,12000,9000,5100,42600
KR,4000,5000,7500,8400,10500,35400
JP,4500,5500,6000,6500,7500,30000
ID,1500,4500,4500,5500,6500,22500
VN,1500,4500,3000,4500,6500,20000
BR,1500,4500,3000,5500,4500,19000
CN,6000,5800,5200,4000,3500,24500
RU,1500,4500,2000,4500,5500,18000
NO,1500,4500,2000,4500,5500,18000
TH,1500,4500,2000,4500,5500,18000
TR,1500,4500,2000,4500,4500,17000
TW,1500,4500,3500,4500,3000,17000
DE,5000,7000,3000,5000,5000,25000
AT,2000,4000,2000,4000,5000,17000
CZ,1500,3500,2000,3500,4000,14500
AR,1500,3500,2000,4500,3500,15000
HU,1500,3500,2500,3500,3500,14500
NL,2000,4000,2500,3500,3000,15000
FI,1500,3500,1500,2500,2500,11500
MX,1500,3500,2500,2500,2500,12500
MA,1500,3500,2500,2500,2500,12500
SK,1500,3500,1500,2500,2500,11500
SA,1500,3500,2500,2500,1500,11500
PL,1500,3500,2500,2500,1500,11500
HK,1500,3500,1500,2500,1500,10500
IT,4500,4500,2500,3000,3500,18000
DK,1500,3500,1500,2500,2500,11500
PH,1500,3500,2500,2500,2500,12500
PE,1500,3500,1500,2500,2500,11500
SE,1500,3500,2500,1500,2500,11500
CO,1500,2500,3500,1500,2500,11500
MY,2500,1500,2500,2500,2500,11500
ES,2500,3000,2000,2500,2500,12500
PT,1500,2500,1500,2500,2500,10500
FR,4600,3800,3000,3500,3500,18400
AU,1500,2500,1500,2500,2500,10500
SG,1500,2500,1500,2500,1500,9500
EG,1500,2500,1500,1500,2500,9500
GR,1500,2500,1500,1500,2500,9500
IL,1500,2500,1500,1500,1500,8500
CA,3200,2700,3500,2300,2000,13700
VE,1500,2500,1500,1500,1500,8500
PK,1500,2500,2500,3500,4000,14000
IN,1500,2500,2500,3500,4000,14000
GB,3000,3500,2000,2000,3000,13500
IE,1500,2000,1500,1500,2500,9000
CH,1500,2000,1500,1500,2500,9000
BE,1500,2000,1500,1500,1500,8000
CL,2500,1500,1500,1000,1000,7500
BD,1500,1500,1000,1000,1000,6000
LU,1000,1500,1000,1000,1000,5500
NZ,1000,1000,1500,1000,1500,6000
ZA,1000,1500,1000,1000,1000,5500
