Country,Years 0.0-1.5,Years 2.0-4.5,Years 5.0-9.5,Years 10.0-14.5,Years 15.0-20.0,Total Cost (US$)
US,2500,3500,7000,1500,1500,16000
WO,2500,1000,1000,500,500,5500
EP,1000,5000,1000,500,500,8000
KR,1000,4000,4000,7000,9000,25000
JP,1000,5000,5000,5000,7000,23000
ID,1000,4000,4000,5000,6000,20000
VN,1000,4000,2000,4000,6000,17000
BR,1000,4000,2000,5000,4000,16000
CN,1000,4000,2000,4000,3000,14000
RU,1000,4000,1000,4000,5000,15000
NO,1000,4000,1000,4000,5000,15000
TH,1000,4000,1000,4000,5000,15000
TR,1000,4000,1000,4000,4000,14000
TW,1000,4000,3000,4000,2000,14000
DE,1000,4000,1000,4000,3000,13000
AT,1000,3000,1000,3000,4000,12000
CZ,1000,3000,1000,3000,3000,11000
AR,1000,3000,1000,4000,3000,12000
HU,1000,3000,2000,3000,3000,12000
NL,1000,3000,2000,3000,2000,11000
FI,1000,3000,1000,2000,2000,9000
MX,1000,3000,2000,2000,2000,10000
MA,1000,3000,2000,2000,2000,10000
SK,1000,3000,1000,2000,2000,9000
SA,1000,3000,2000,2000,1000,9000
PL,1000,3000,2000,2000,1000,9000
HK,1000,3000,1000,2000,1000,8000
IT,1000,3000,1000,2000,2000,9000
DK,1000,3000,1000,2000,2000,9000
PH,1000,3000,2000,2000,2000,10000
PE,1000,3000,1000,2000,2000,9000
SE,1000,3000,2000,1000,2000,9000
CO,1000,2000,3000,1000,2000,9000
MY,2000,1000,2000,2000,2000,9000
ES,1000,2000,1000,2000,2000,8000
PT,1000,2000,1000,2000,2000,8000
FR,1000,2000,1000,2000,2000,8000
AU,1000,2000,1000,2000,2000,8000
SG,1000,2000,1000,2000,1000,7000
EG,1000,2000,1000,1000,2000,7000
GR,1000,2000,1000,1000,2000,7000
IL,1000,2000,1000,1000,1000,6000
CA,1000,2000,1000,1000,1000,6000
VE,1000,2000,1000,1000,1000,6000
PK,2000,1000,1000,1000,1000,6000
IN,1000,1000,1000,2000,500,5500
GB,500,1000,1000,1000,2000,5500
IE,500,1000,1000,1000,2000,5500
CH,500,1000,1000,1000,2000,5500
BE,500,1000,1000,1000,1000,4500
CL,2000,500,1000,500,500,4500
BD,1000,1000,500,500,500,3500
LU,500,1000,500,500,500,3000
NZ,500,500,1000,500,1000,3500
ZA,500,1000,500,500,500,3000
WO,5000,12000,8500,12700,5300,43500
