No,Title,Inventors,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number,first publication date,second publication date,first publication number,second publication number,first publication country,second publication country,first filing year,earliest priority year,applicant country,first applicant,second applicant,first applicant type,second applicant type,Patent Age,patent cost,Patent Value,Market Rate,Mean Value
1,Plug-in hybrid vehicle with fast energy storage,"BENDER DONALD A [US] 
DESHMANE ATUL [US] 
MEANS ANDREW E [US]",US2006250902A1,2005-05-05,['H04B1/20'],"['B60K6/20 (KR)', 'B60K6/28 (KR)', 'B60K6/30 (EP,US)', 'B60K6/46 (EP,US)', 'B60K6/48 (EP,US)', 'B60K6/52 (EP,US)', 'B60K6/54 (EP,US)', 'B60L15/007 (EP,US)', 'B60L50/15 (EP,US)', 'B60L50/16 (EP,US)', 'B60L50/61 (EP,US)', 'B60L50/62 (EP,US)', 'B60L53/14 (EP,US)', 'B60L53/30 (EP,US)', 'B60L55/00 (EP,US)', 'B60L58/20 (EP,US)', 'H04B1/20 (KR)', 'B60K1/02 (EP,US)', 'B60L2260/28 (EP,US)', 'Y02E60/00 (EP,US)', 'Y02T10/62 (EP,US)', 'Y02T10/64 (EP,US)', 'Y02T10/70 (EP,US)', 'Y02T10/7072 (EP,US)', 'Y02T90/12 (EP,US)', 'Y02T90/14 (EP,US)', 'Y02T90/16 (US)', 'Y04S10/126 (EP,US)']",2006-11-09,2006-11-09,37397092,2006-11-09,,US2006250902A1,,US,,2006,2005,US,AFS TRINITY POWER CORP [US],,Company - General,Unknown,20,3000,1500.0,5190.485829959514,5190.485829959514
2,Electric vehicle wireless charging system through hydrogen power generation,SON JEONG KI [KR],KR20230163874A,2022-05-24,"['B60L53/12', 'B60L53/38', 'B60L53/54', 'B60L53/66', 'B60L53/68', 'G06Q20/14', 'G06Q50/30']","['B60L53/12 (KR)', 'B60L53/38 (KR)', 'B60L53/54 (KR)', 'B60L53/665 (KR)', 'B60L53/68 (KR)', 'G06Q20/145 (KR)', 'G06Q50/40 (KR)', 'B60Y2200/91 (KR)', 'Y02T90/12 (KR)']",2023-12-01,2023-12-01,89124565,2023-12-01,,KR20230163874A,,KR,,2023,2022,KR,SON JEONG KI [KR],,Individual Inventor,Unknown,3,5000,4000.0,5190.485829959514,5190.485829959514
3,Electric vehicle charging system using hydrogen fuel cell,HONG SEONG HO,KR102511391B1,2022-09-20,"['B60L3/00', 'B60L53/16', 'B60L53/51', 'B60L53/54', 'B60L53/57', 'B60L58/30', 'H01M8/04082', 'H05K7/20']",['Y02T10/70 (EP)'],2023-03-20,2023-03-20,85796535,2023-03-20,,KR102511391B1,,KR,,2023,2022,KR,HOGREENAIR CO LTD [KR],,Company - Limited,Unknown,3,5000,4000.0,5190.485829959514,5190.485829959514
4,BATTERY-CHARGING SYSTEM FOR AN ELECTRIC VEHICLE,CHUNG YON JONG [KR],"WO2011019133A2 
WO2011019133A3",2009-08-13,"['B60L11/18', 'B60W10/24', 'H02J7/00']","['B60K6/46 (EP)', 'B60L15/2045 (EP)', 'B60L58/12 (EP,US)', 'B60W10/06 (EP)', 'B60W10/08 (EP)', 'B60W10/24 (KR,US)', 'B60W20/00 (EP)', 'B60W20/12 (EP,US)', 'H02J5/00 (US)', 'H02J7/00 (KR)', 'H02J7/02 (EP,US)', 'B60L2240/24 (EP)', 'B60L2240/26 (EP)', 'B60L2240/62 (EP)', 'B60L2240/622 (EP)', 'B60L2240/68 (EP)', 'B60L2260/54 (EP)', 'B60L2260/56 (EP)', 'B60W2050/0025 (EP)', 'B60W2050/0031 (EP)', 'B60W2050/146 (EP)', 'B60W2510/244 (EP)', 'B60W2530/10 (EP)', 'B60W2540/10 (EP)', 'B60W2540/12 (EP)', 'B60W2540/18 (EP)', 'B60W2554/00 (EP)', 'B60W2556/50 (EP)', 'Y02T10/62 (EP)', 'Y02T10/64 (EP)', 'Y02T10/70 (EP)', 'Y02T10/72 (EP)', 'Y02T90/16 (EP)']","2011-02-17 
2011-04-07",2010-03-25,42183715,2011-02-17,2011-04-07,WO2011019133A2,WO2011019133A3,WO,WO,2011,2009,KR,CHUNG YON JONG [KR],,Individual Inventor,Unknown,16,1000,5300.0,5190.485829959514,5190.485829959514
5,ESS SYSTEM FOR CHARGING FUEL CELL ELECTRIC VEHICLE AND ELECTRIC VEHICLE,"MUN TAEEUN [KR] 
CHAE HO BYUNG [KR] 
SHIN JONG HOON [KR]",US2022140365A1,2020-11-02,"['H01M16/00', 'H01M8/04828', 'H02J7/34']","['B60K15/03006 (KR)', 'B60L53/20 (KR)', 'B60L53/50 (KR)', 'B60L58/12 (KR)', 'B60L58/31 (KR)', 'H01M10/425 (EP)', 'H01M16/003 (US)', 'H01M16/006 (EP,KR)', 'H01M8/0494 (EP,US)', 'H01M8/04992 (EP)', 'H01M8/186 (KR)', 'H02J7/34 (EP,KR,US)', 'B60K2015/03315 (KR)', 'B60L2210/30 (KR)', 'B60Y2200/91 (KR)', 'H01M2010/4271 (EP)', 'H01M2220/10 (EP,KR)', 'H01M2220/20 (EP)', 'H01M2250/10 (EP,KR)', 'H01M2250/20 (EP,US)', 'H01M8/0494 (KR)', 'H02J2207/20 (EP,KR)', 'H02J2300/30 (EP)', 'Y02E60/10 (EP)', 'Y02E60/36 (EP)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP,KR)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)', 'Y02T90/40 (EP,KR)']",2022-05-05,2021-03-17,75243546,2022-05-05,,US2022140365A1,,US,,2022,2020,KR,SIGNET EV INC [KR] ,SIGNET ENERGY [KR],Company - Incorporated/Corporation,Energy Company,5,11500,7000.0,5190.485829959514,5190.485829959514
6,Method for quickly charging electric vehicle lead-acid storage battery,"CHENG HUANGREN 
HAN YIXI 
LI QINGBAO 
ZHAO XI",CN108550935A,2018-04-19,['H01M10/44'],"['H01M10/445 (CN)', 'Y02E60/10 (EP)']",2018-09-18,2018-09-18,63515557,2018-09-18,,CN108550935A,,CN,,2018,2018,,TIANJIN YADI IND CO LTD,,Company - Limited,Unknown,7,5200,2000.0,5190.485829959514,5190.485829959514
7,Stable Charging Device for Methanol Hydrogen Production Electric Vehicle,CHEN JIEPING,"CN109263516A 
CN109263516B",2018-10-30,"['B60L58/31', 'H01M8/04082', 'H01M8/0612']","['H01M8/04201 (CN)', 'H01M8/0618 (CN)', 'H01M8/0625 (CN)', 'Y02E60/50 (EP)', 'Y02T90/40 (EP)']","2019-01-25 
2024-03-15",2019-01-25,65194032,2019-01-25,2024-03-15,CN109263516A,CN109263516B,CN,CN,2019,2018,,ZHEJIANG QINGGU NEW ENERGY AUTOMOBILE CO LTD,,Company - Limited,Unknown,7,5200,2000.0,5190.485829959514,5190.485829959514
8,AUTOMATIC CHARGING SYSTEM FOR ELECTRIC VEHICLE,CHEN WEN-LO [TW],US2013093378A1,2011-10-17,['H02J7/00'],"['B60L50/72 (EP,US)', 'B60L58/40 (EP,US)', 'B60L8/00 (EP,US)', 'C25B1/04 (EP,US)', 'C25B15/02 (EP,US)', 'C25B15/08 (EP,US)', 'H01M16/003 (EP,US)', 'H01M16/006 (EP,US)', 'H01M8/0656 (EP,US)', 'H01M2220/20 (EP,US)', 'H01M2250/20 (EP,US)', 'H02J2310/48 (EP)', 'Y02E60/10 (EP)', 'Y02E60/36 (EP,US)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP,US)', 'Y02T90/40 (EP,US)']",2013-04-18,2013-04-18,48085546,2013-04-18,,US2013093378A1,,US,,2013,2011,TW,CHEN WEN-LO [TW],,Individual Inventor,Unknown,14,5000,1500.0,5190.485829959514,5190.485829959514
9,Motor driving and lithium battery charging integrated system of hybrid electric vehicle,"CHEN JING 
TIAN SHAOPENG 
XIAO CHUN 
WANG YUNING 
YANG CAN 
QIN GUOFENG 
LI ZHIHUA 
GUO ZHENGYANG",CN214240460U,2020-12-10,"['B60L50/75', 'B60L58/40', 'H02J7/02', 'H02P27/06']","['Y02T10/64 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']",2021-09-21,2021-09-21,77737375,2021-09-21,,CN214240460U,,CN,,2021,2020,,FOSHAN XIANHU LABORATORY,,University/Research Institution,Unknown,5,5200,2000.0,5190.485829959514,5190.485829959514
10,Automatic charging device for battery module of electric vehicle,CHEN WEN-LE [TW],TW201310755A,2011-08-18,"['B60L11/18', 'H01M2/36', 'H01M8/04']","['Y02E60/50 (EP)', 'Y02T10/70 (EP)']",2013-03-01,2013-03-01,48482101,2013-03-01,,TW201310755A,,TW,,2013,2011,TW,CHEN WEN-LE [TW],,Individual Inventor,Unknown,14,4500,4000.0,5190.485829959514,5190.485829959514
11,Motor driving and lithium battery charging integrated method for hybrid electric vehicle,"CHEN JING 
TIAN SHAOPENG 
XIAO CHUN 
WANG YUNING 
YANG CAN 
QIN GUOFENG 
LI ZHIHUA 
GUO ZHENGYANG",CN112606713A,2020-12-10,"['B60L50/75', 'B60L58/40', 'H02J7/02', 'H02P27/06']","['B60L50/75 (CN)', 'B60L58/40 (CN)', 'H02J7/02 (CN)', 'H02P27/06 (CN)', 'B60L2210/10 (CN)', 'B60L2210/30 (CN)', 'Y02T10/64 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']",2021-04-06,2021-04-06,75232631,2021-04-06,,CN112606713A,,CN,,2021,2020,,FOSHAN XIANHU LABORATORY,,University/Research Institution,Unknown,5,5200,2000.0,5190.485829959514,5190.485829959514
12,HYDROGEN HYBRID ELECTRIC VEHICLE,"AHMAD REZAL KHAIRI BIN [MY] 
ZOLKIPLI MOHAMAD HAFIZ BIN [MY] 
ABDULLAH MOHAMAD SHAZWAN BIN [MY] 
SULAIMAN MOHD TAUFIK BIN [MY] 
PARDAMAN SINGH JAGJEET SINGH A/L [MY]",WO2023128748A1,2021-12-27,"['B60K6/26', 'B60K6/28', 'B60L15/20', 'B60L53/24', 'B60L58/40']","['B60K6/28 (EP)', 'B60K6/32 (EP)', 'B60K6/48 (EP)', 'B60L50/40 (EP)', 'B60L58/12 (EP)', 'B60L58/40 (EP)', 'H01M10/0525 (EP)', 'H01M16/003 (EP)', 'H01M16/006 (EP)', 'H01M4/583 (EP)', 'H01M8/0606 (EP)', 'H01M8/1004 (EP)', 'H01M2220/20 (EP)', 'H01M2250/20 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']",2023-07-06,2023-07-06,86999818,2023-07-06,,WO2023128748A1,,WO,,2023,2021,MY,NANOMALAYSIA BERHAD [MY],,Material Science/Nanotechnology Company,Unknown,4,4900,12000.0,5190.485829959514,5190.485829959514
13,Control method and system for charging electric vehicle by hydrogen fuel cell generator,"XIANG HUA 
YANG WEITAO",CN110015205A,2017-11-29,['B60L58/30'],"['B60L58/30 (CN)', 'Y02T90/40 (EP)']",2019-07-16,2019-07-16,67186523,2019-07-16,,CN110015205A,,CN,,2019,2017,,GUANGDONG HYDROGEN ENERGY SCIENCE & TECH CO LTD,,Company - Limited,Unknown,8,5200,2000.0,5190.485829959514,5190.485829959514
14,BATTERY CONTROL DEVICE FOR ELECTRIC VEHICLE,"ARAI YOICHI 
SHIMOYAMA KENICHI",JPH11162523A,1997-11-28,"['B60L11/18', 'B60L3/00', 'H01M10/42', 'H02J7/00', 'B60L11/18', 'B60L3/00', 'H01M10/42', 'H02J7/00']","['Y02E60/10 (EP)', 'Y02T10/70 (EP)']",1999-06-18,1999-06-18,18217822,1999-06-18,,JPH11162523A,,JP,,1999,1997,,YAZAKI CORP,,Company - General,Unknown,28,30000,23000.0,5190.485829959514,5190.485829959514
