,No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number,first publication date,second publication date,first publication number,second publication number,first publication country,second publication country,first filing year,earliest priority year,applicant country,family_members,family_members_count,country_codes,family_size
3,4,BATTERY-CHARGING SYSTEM FOR AN ELECTRIC VEHICLE,CHUNG YON JONG [KR],CHUNG YON JONG [KR],"WO2011019133A2 
WO2011019133A3",2009-08-13,"['B60L11/18', 'B60W10/24', 'H02J7/00']","['B60K6/46 (EP)', 'B60L15/2045 (EP)', 'B60L58/12 (EP,US)', 'B60W10/06 (EP)', 'B60W10/08 (EP)', 'B60W10/24 (KR,US)', 'B60W20/00 (EP)', 'B60W20/12 (EP,US)', 'H02J5/00 (US)', 'H02J7/00 (KR)', 'H02J7/02 (EP,US)', 'B60L2240/24 (EP)', 'B60L2240/26 (EP)', 'B60L2240/62 (EP)', 'B60L2240/622 (EP)', 'B60L2240/68 (EP)', 'B60L2260/54 (EP)', 'B60L2260/56 (EP)', 'B60W2050/0025 (EP)', 'B60W2050/0031 (EP)', 'B60W2050/146 (EP)', 'B60W2510/244 (EP)', 'B60W2530/10 (EP)', 'B60W2540/10 (EP)', 'B60W2540/12 (EP)', 'B60W2540/18 (EP)', 'B60W2554/00 (EP)', 'B60W2556/50 (EP)', 'Y02T10/62 (EP)', 'Y02T10/64 (EP)', 'Y02T10/70 (EP)', 'Y02T10/72 (EP)', 'Y02T90/16 (EP)']","2011-02-17 
2011-04-07",2010-03-25,42183715,2011-02-17,2011-04-07,WO2011019133A2,WO2011019133A3,WO,WO,2011,2009,KR,"['KR100949260B1', 'WO2011019133A2', 'WO2011019133A3']",63.0,"['KR', 'WO', 'WO']",3
25,26,APPARATUS AND METHOD USING HYDROGEN PRESSURE IN FUEL CELL ELECTRIC VEHICLE,"MAJAROV KONSTANTIN S [US] 
O'MEARA THOMAS P [US]","GM GLOBAL TECH OPERATIONS INC [US] 
MAJAROV KONSTANTIN S [US] 
O'MEARA THOMAS P [US]","US2010304228A1 
US8153309B2",2009-05-27,"['F02B63/00', 'H01M8/04', 'H01M8/06']","['F01B1/02 (EP,US)', 'F01B17/02 (EP,US)', 'H01M8/04067 (EP,US)', 'H01M8/04089 (EP,US)', 'H01M2250/20 (EP,US)', 'H01M2250/402 (EP,US)', 'H01M2250/407 (EP,US)', 'Y02B90/10 (EP,US)', 'Y02E60/50 (EP,US)', 'Y02T90/40 (EP,US)']","2010-12-02 
2012-04-10",2010-12-02,43220607,2010-12-02,2012-04-10,US2010304228A1,US8153309B2,US,US,2010,2009,US,"['US2010304228A1', 'US8153309B2']",38.0,"['US', 'US']",2
26,27,Hydrogen fuel cell integrated fast electric vehicle charger,HA JAE CHUNG [KR],HA JAE CHUNG [KR],"KR102352048B1 
KR20210148470A",2020-05-28,"['B60L53/10', 'B60L53/24', 'B60L53/66', 'H02H5/04', 'H02H7/18', 'H02M3/00', 'H02M7/44']","['B60L53/11 (KR)', 'B60L53/24 (KR)', 'B60L53/665 (KR)', 'H01M8/0494 (KR)', 'H01M8/04947 (KR)', 'H02H5/041 (KR)', 'H02H7/18 (KR)', 'H02M3/00 (KR)', 'H02M7/44 (KR)', 'B60L2210/10 (KR)', 'B60L2210/40 (KR)', 'B60L2250/16 (KR)', 'B60Y2200/91 (KR)', 'H01M2250/20 (KR)', 'Y02E60/50 (EP,KR)', 'Y02T10/70 (EP,KR)', 'Y02T10/7072 (EP,KR)', 'Y02T10/72 (KR)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)', 'Y02T90/16 (EP)', 'Y02T90/167 (KR)']","2021-12-08 
2022-01-17",2021-12-08,78867662,2021-12-08,2022-01-17,KR102352048B1,KR20210148470A,KR,KR,2021,2020,KR,"['KR102352048B1', 'KR20210148470A']",40.0,"['KR', 'KR']",2
27,28,HYBRID PLUG-IN BATTERY AND HYDROGEN FUEL ENGINE VEHICLE WITH SWAPPABLE HYDROGEN TANKS AND METHOD FOR MODULAR HYDROGEN STORAGE AND TRANSPORTATION AND DISTRIBUTION,WANG YONGHUA [US],WANG YONGHUA [US],"US12005772B2 
US2022402354A1",2021-06-17,"['B60K15/01', 'B60K15/03', 'F02B43/10', 'H01M10/42', 'H01M10/44', 'H01M10/46', 'H02J7/35', 'B60K15/00', 'F02B13/10']","['B60K15/00 (US)', 'B60K15/01 (EP,US)', 'B60K15/013 (EP)', 'B60K15/03 (US)', 'B60K15/03006 (EP)', 'B60K15/07 (CN)', 'B60K6/24 (CN)', 'B60K6/28 (CN)', 'B60L50/71 (EP)', 'B60L50/72 (EP)', 'B60L50/75 (EP)', 'B60L8/003 (CN)', 'F02B13/10 (US)', 'F02B43/10 (US)', 'H01M10/4257 (US)', 'H01M10/44 (US)', 'H01M10/465 (EP,US)', 'H01M50/249 (EP)', 'H01M8/04201 (EP)', 'H01M8/0656 (EP)', 'H01M8/1007 (EP)', 'H02J15/008 (EP)', 'H02J7/35 (EP,US)', 'B60K2015/03118 (CN)', 'B60K2015/03184 (EP,CN,US)', 'B60K2015/03315 (EP,CN,US)', 'C25B1/04 (EP)', 'C25B15/00 (EP)', 'F02B2043/106 (US)', 'H01M2010/4278 (US)', 'H01M2220/20 (EP,US)', 'H01M2250/20 (EP)', 'H02J2300/30 (EP)', 'H02J2310/48 (EP)', 'Y02E60/36 (US)']","2022-12-22 
2024-06-11",2022-12-22,84489982,2022-12-22,2024-06-11,US12005772B2,US2022402354A1,US,US,2022,2021,US,"['CN118372636A', 'US12005772B2', 'US2022402354A1']",60.0,"['CN', 'US', 'US']",3
51,53,Rapid Energy Recharge System for a Battery Electric Vehicle,RAGHAVAN MADHUSUDAN [US],"RAGHAVAN MADHUSUDAN [US] 
GM GLOBAL TECH OPERATIONS INC [US]","US2012306442A1 
US8854000B2",2011-06-01,"['H02J7/00', 'B60K6/20', 'H02J15/00']","['H02J7/00 (EP,US)', 'H02J15/003 (EP,US)', 'H02J15/006 (EP,US)', 'H02J2310/48 (EP)']","2012-12-06 
2014-10-07",2012-12-06,47261164,2012-12-06,2014-10-07,US2012306442A1,US8854000B2,US,US,2012,2011,US,"['US2012306442A1', 'US8854000B2']",38.0,"['US', 'US']",2
62,64,COMMUNICATION SYSTEMS AND METHODS FOR HYDROGEN FUELING AND ELECTRIC CHARGING,"BOISEN JESPER NISSEN [DK] 
GAMBONE LIVIO RICHARD [US] 
GRABOVSKIJ GRIGORIJ J [DE] 
SCHNEIDER JESSE MICHAEL [US] 
SVENDSEN JACOB APPELT VIBE [DK] 
VIG BJARNE [DK]","NIKOLA CORP [US] 
NEL HYDROGEN AS [DK]","US10960783B2 
US2020346554A1",2019-02-18,"['B60L50/71', 'B60L53/66', 'B60S5/02', 'B67D7/32', 'H04B5/00', 'H04W4/40', 'H04W76/10']","['B60L3/0053 (EP)', 'B60L50/71 (KR,US)', 'B60L53/66 (KR,US)', 'B60L58/30 (EP,KR)', 'B60S5/02 (KR,US)', 'B67D7/04 (US)', 'B67D7/3218 (KR,US)', 'B67D7/3281 (KR,US)', 'F17C5/06 (KR)', 'H04B5/20 (EP,KR)', 'H04B5/70 (EP,KR)', 'H04B5/72 (US)', 'H04B5/77 (KR)', 'H04W4/40 (EP,KR,US)', 'H04W4/80 (EP,KR,US)', 'H04W76/10 (US)', 'B60L2240/36 (KR,US)', 'F17C2205/05 (EP,KR)', 'F17C2205/058 (EP,KR)', 'F17C2221/012 (EP,KR)', 'F17C2223/0123 (EP,KR)', 'F17C2223/036 (EP,KR)', 'F17C2250/034 (EP,KR)', 'F17C2265/065 (EP,KR)', 'F17C2270/0139 (EP,KR)', 'H04W4/44 (EP)', 'H04W4/46 (EP)', 'Y02E60/32 (EP,KR)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/16 (EP)', 'Y02T90/167 (KR)', 'Y02T90/40 (EP,KR)']","2020-11-05 
2021-03-30",2020-08-27,72144408,2020-11-05,2021-03-30,US10960783B2,US2020346554A1,US,US,2020,2019,US,"['EP3721130A1', 'EP3721130A4', 'EP3721130B1', 'JP2022141678A', 'JP2022518615A', 'KR20210130193A', 'US10800281B2', 'US10960783B2', 'US11926237B2', 'US2020276909A1', 'US2020346554A1', 'US2021371269A1', 'WO2020172100A1']",277.0,"['EP', 'EP', 'EP', 'JP', 'JP', 'KR', 'US', 'US', 'US', 'US', 'US', 'US', 'WO']",13
67,69,MOBILE ELECTRIC VEHICLE CHARGING STATION SYSTEM,GOEI ESMOND [US],POWER HERO CORP [US],"US12151582B2 
US2022332210A1",2018-05-15,"['G06Q10/10', 'B60L53/53', 'B60L53/66', 'B60L53/67', 'B60L53/68', 'G05B13/02', 'G08G1/00', 'G06Q10/1093', 'H02J7/00', 'H02J7/14', 'H04L67/12']","['B60L53/305 (EP)', 'B60L53/53 (US)', 'B60L53/63 (EP)', 'B60L53/665 (US)', 'B60L53/67 (EP,US)', 'B60L53/68 (EP,US)', 'G05B13/0265 (US)', 'G06Q10/1095 (EP,US)', 'G08G1/202 (EP,US)', 'B60L2240/80 (EP)', 'H04L67/12 (EP,US)', 'Y02E10/50 (EP)', 'Y02E60/00 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/16 (EP)', 'Y02T90/167 (EP)', 'Y04S10/126 (EP)']","2022-10-20 
2024-11-26",2019-11-21,68534112,2022-10-20,2024-11-26,US12151582B2,US2022332210A1,US,US,2022,2018,US,"['CA3100361A1', 'US11413982B2', 'US12151582B2', 'US2019351783A1', 'US2022332210A1', 'WO2019222369A1', 'WO2019222369A9']",149.0,"['CA', 'US', 'US', 'US', 'US', 'WO', 'WO']",7
97,99,Fuel cell system for charging electric vehicle batteries,LEE WOONG MOO [KR],PAHPS [KR],"KR101813231B1 
KR20170040143A",2017-03-20,"['B60K1/04', 'B60L11/18', 'H01M8/04298', 'H01M8/0612', 'H01M8/0662']","['B60L50/50 (KR)', 'B60L58/30 (KR)', 'H01M8/04089 (KR)', 'H01M8/04201 (KR)', 'H01M8/04947 (KR)', 'H01M8/0618 (KR)', 'H01M8/0662 (KR)', 'H01M8/0687 (KR)', 'H01M2250/20 (KR)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']","2017-04-12 
2018-01-30",2017-04-12,58580416,2017-04-12,2018-01-30,KR101813231B1,KR20170040143A,KR,KR,2017,2017,KR,"['KR101813231B1', 'KR20170040143A']",40.0,"['KR', 'KR']",2
103,105,COMPOSITE CHARGING SYSTEM AND METHOD,"JEONG BYUNG HWAN [KR] 
LEE JEONG MIN [KR] 
BYEN BYENG JOO [KR]",HYOSUNG CORP [KR],"US12224615B2 
US2023246472A1",2021-05-14,"['B60L53/30', 'B60L53/50', 'B60L53/64', 'G06Q50/06', 'H01M16/00', 'H01M8/04082', 'H01M8/04858', 'H02J3/32', 'H02J7/00']","['B60L53/30 (EP,US)', 'B60L53/50 (EP,US)', 'B60L53/64 (EP,US)', 'G06Q50/06 (EP,US)', 'H01M10/44 (EP)', 'H01M16/006 (EP,US)', 'H01M8/04201 (EP,US)', 'H01M8/04925 (EP,US)', 'H02J3/32 (EP,US)', 'H02J7/00 (EP)', 'H02J7/007188 (EP,US)', 'H02J7/34 (EP)', 'B60L2210/10 (EP,US)', 'B60L2210/30 (EP,US)', 'B60L53/305 (EP)', 'B60L53/63 (EP)', 'B60L53/65 (EP)', 'B60L58/40 (EP)', 'H01M2250/20 (EP,US)', 'H02J2207/20 (US)', 'H02J2310/48 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']","2023-08-03 
2025-02-11",2022-10-04,83600361,2023-08-03,2025-02-11,US12224615B2,US2023246472A1,US,US,2023,2021,KR,"['KR102450193B1', 'US12224615B2', 'US2023246472A1', 'WO2022239920A1']",84.0,"['KR', 'US', 'US', 'WO']",4
110,112,ELECTRIC VEHICLE,"KONG CHANG SUN [KR] 
YANG JAE CHOON [KR]",LG CHEMICAL LTD [KR],"US11325502B2 
US2020231066A1",2017-09-25,"['B60L50/71', 'B60L50/75', 'B60L58/40', 'B60K6/32', 'B60K7/00']","['B60K1/02 (EP,KR)', 'B60K17/34 (EP)', 'B60K7/00 (EP)', 'B60K7/0007 (KR)', 'B60L15/20 (EP,KR)', 'B60L50/50 (EP)', 'B60L50/71 (US)', 'B60L50/75 (US)', 'B60L58/30 (KR)', 'B60L58/40 (US)', 'B60L7/10 (EP,KR)', 'B60K7/0007 (US)', 'B60L2220/44 (EP)', 'B60L2240/547 (KR)', 'B60Y2200/91 (KR)', 'Y02T10/70 (EP)', 'Y02T10/72 (EP)', 'Y02T90/40 (EP)']","2020-07-23 
2022-05-10",2019-03-28,65811380,2020-07-23,2022-05-10,US11325502B2,US2020231066A1,US,US,2020,2017,KR,"['CN111094052A', 'CN111094052B', 'EP3670243A1', 'EP3670243A4', 'JP2020533749A', 'JP7322352B2', 'KR102284412B1', 'KR20190034767A', 'US11325502B2', 'US2020231066A1', 'WO2019059656A1']",231.0,"['CN', 'CN', 'EP', 'EP', 'JP', 'JP', 'KR', 'KR', 'US', 'US', 'WO']",11
