,country_code,member_count,pub_patent_count_x,pub_patent_count_y,pub_patent_count
0,CN,395,305.0,305.0,305.0
1,US,134,67.0,67.0,67.0
2,JP,121,53.0,53.0,53.0
3,KR,71,36.0,36.0,36.0
4,WO,57,20.0,20.0,20.0
5,EP,46,3.0,3.0,3.0
6,AU,16,,,0.0
7,DE,13,,,0.0
8,CA,12,,,0.0
9,TW,11,3.0,3.0,3.0
10,GB,8,3.0,3.0,3.0
11,ES,8,1.0,1.0,1.0
12,MX,5,,,0.0
13,FR,4,,,0.0
14,BR,4,,,0.0
15,DK,4,,,0.0
16,IL,3,,,0.0
17,TR,2,,,0.0
18,IT,2,,,0.0
19,RU,2,1.0,1.0,1.0
20,PL,2,,,0.0
21,FI,2,,,0.0
22,NL,1,,,0.0
23,AT,1,,,0.0
24,CZ,1,,,0.0
25,HR,1,,,0.0
26,HU,1,,,0.0
