,position,title,data_cid,link,publication,snippet,type,inline_links,resource,authors
0,1,Creating large language model applications utilizing langchain: A primer on developing llm apps fast,QXV-Nxym8hQJ,https://www.researchgate.net/profile/Oguzhan-Topsakal/publication/372669736_Creating_Large_Language_Model_Applications_Utilizing_LangChain_A_Primer_on_Developing_LLM_Apps_Fast/links/64d114a840a524707ba4a419/Creating-Large-Language-Model-Applications-Utilizing-LangChain-A-Primer-on-Developing-LLM-Apps-Fast.pdf,"O Topsakal, TC Akinci - International Conference on Applied …, 2023 - researchgate.net",… LangChain has been widely recognized in the AI community for its ability … LangChain and provide a primer on developing large language model applications rapidly utilizing LangChain…,PDF,"{'cited_by': {'cites_id': '1509451465242867009', 'total': 277, 'link': 'https://scholar.google.com/scholar?cites=1509451465242867009&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'versions': {'cluster_id': '1509451465242867009', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=1509451465242867009&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:QXV-Nxym8hQJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:QXV-Nxym8hQJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'researchgate.net', 'format': 'PDF', 'link': 'https://www.researchgate.net/profile/Oguzhan-Topsakal/publication/372669736_Creating_Large_Language_Model_Applications_Utilizing_LangChain_A_Primer_on_Developing_LLM_Apps_Fast/links/64d114a840a524707ba4a419/Creating-Large-Language-Model-Applications-Utilizing-LangChain-A-Primer-on-Developing-LLM-Apps-Fast.pdf'}","[{'name': 'O Topsakal', 'id': 'ukpd7PsAAAAJ', 'link': 'https://scholar.google.com/citations?user=ukpd7PsAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'TC Akinci', 'id': 'GR2VnR4AAAAJ', 'link': 'https://scholar.google.com/citations?user=GR2VnR4AAAAJ&hl=en&num=20&oi=sra'}]"
1,2,Systematic literature review langchain proposed,RZdPO1NXsvYJ,https://ieeexplore.ieee.org/abstract/document/10242497/,"R Asyrofi, MR Dewi, MI Lutfhi… - 2023 International …, 2023 - ieeexplore.ieee.org","While systematic literature reviews are frequently carried out within software engineering research, performing them in a rigorous and reproducible manner can be difficult. This paper …",,"{'cited_by': {'cites_id': '17776366694173742917', 'total': 19, 'link': 'https://scholar.google.com/scholar?cites=17776366694173742917&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:RZdPO1NXsvYJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,"[{'name': 'R Asyrofi', 'id': 'd0HfC5UAAAAJ', 'link': 'https://scholar.google.com/citations?user=d0HfC5UAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'MR Dewi', 'id': '0cp6H0YAAAAJ', 'link': 'https://scholar.google.com/citations?user=0cp6H0YAAAAJ&hl=en&num=20&oi=sra'}]"
2,3,LangChain,FuWvxdSUmTcJ,https://hal.science/hal-04817573/,V Mavroudis - 2024 - hal.science,"… This paper provides an in-depth analysis of LangChain’s … of LangChain, this paper serves as a key resource for developers and researchers interested in leveraging LangChain for …",,"{'cited_by': {'cites_id': '4006396985093383446', 'total': 1, 'link': 'https://scholar.google.com/scholar?cites=4006396985093383446&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:FuWvxdSUmTcJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:FuWvxdSUmTcJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'hal.science', 'format': 'PDF', 'link': 'https://hal.science/hal-04817573/document'}","[{'name': 'V Mavroudis', 'id': 'b10w74sAAAAJ', 'link': 'https://scholar.google.com/citations?user=b10w74sAAAAJ&hl=en&num=20&oi=sra'}]"
3,4,Automating Customer Service using LangChain: Building custom open-source GPT Chatbot for organizations,kesZexNTf6oJ,https://arxiv.org/abs/2310.05421,"K Pandya, M Holia - arXiv preprint arXiv:2310.05421, 2023 - arxiv.org","In the digital age, the dynamics of customer service are evolving, driven by technological advancements and the integration of Large Language Models (LLMs). This research paper …",,"{'cited_by': {'cites_id': '12285629651624782737', 'total': 88, 'link': 'https://scholar.google.com/scholar?cites=12285629651624782737&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'versions': {'cluster_id': '12285629651624782737', 'total': 3, 'link': 'https://scholar.google.com/scholar?cluster=12285629651624782737&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:kesZexNTf6oJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:kesZexNTf6oJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'arxiv.org', 'format': 'PDF', 'link': 'https://arxiv.org/pdf/2310.05421'}","[{'name': 'K Pandya', 'id': 'Swvp-1MAAAAJ', 'link': 'https://scholar.google.com/citations?user=Swvp-1MAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'M Holia', 'id': 'as7c3noAAAAJ', 'link': 'https://scholar.google.com/citations?user=as7c3noAAAAJ&hl=en&num=20&oi=sra'}]"
4,5,LangChain v0. 3,Q0M6YACAPukJ,https://osf.io/4gprt_v1/download,"V Mavroudis - Preprints, 2024 - osf.io","… This paper provides an in-depth analysis of LangChain’s … of LangChain, this paper serves as a key resource for developers and researchers interested in leveraging LangChain for …",PDF,"{'cited_by': {'cites_id': '16807011598496056131', 'total': 1, 'link': 'https://scholar.google.com/scholar?cites=16807011598496056131&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'versions': {'cluster_id': '16807011598496056131', 'total': 3, 'link': 'https://scholar.google.com/scholar?cluster=16807011598496056131&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:Q0M6YACAPukJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:Q0M6YACAPukJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'osf.io', 'format': 'PDF', 'link': 'https://osf.io/4gprt_v1/download'}",
5,6,Comparative Study and Framework for Automated Summariser Evaluation: LangChain and Hybrid Algorithms,eCR0zYUt4J0J,https://arxiv.org/abs/2310.02759,"R Mahadevan, RCSP Raman - arXiv preprint arXiv:2310.02759, 2023 - arxiv.org","… Following the summarization process using LangChain, we compare this summarized content with the user's understanding of the PDF content. Cosine similarity is applied to this …",,"{'cited_by': {'cites_id': '11376142711438713976', 'total': 2, 'link': 'https://scholar.google.com/scholar?cites=11376142711438713976&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:eCR0zYUt4J0J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:eCR0zYUt4J0J:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'arxiv.org', 'format': 'PDF', 'link': 'https://arxiv.org/pdf/2310.02759'}","[{'name': 'R Mahadevan', 'id': 'W6hBDwMAAAAJ', 'link': 'https://scholar.google.com/citations?user=W6hBDwMAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'RCSP Raman', 'id': '440jn-oAAAAJ', 'link': 'https://scholar.google.com/citations?user=440jn-oAAAAJ&hl=en&num=20&oi=sra'}]"
6,7,Revolutionizing mental health care through langchain: A journey with a large language model,pNvJFXktor0J,https://ieeexplore.ieee.org/abstract/document/10427865/,"A Singh, A Ehtesham, S Mahmud… - 2024 IEEE 14th Annual …, 2024 - ieeexplore.ieee.org","Mental health challenges are on the rise in our modern society, and the imperative to address mental disorders, especially regarding anxiety, depression, and suicidal thoughts, …",,"{'cited_by': {'cites_id': '13664534217475349412', 'total': 23, 'link': 'https://scholar.google.com/scholar?cites=13664534217475349412&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'versions': {'cluster_id': '13664534217475349412', 'total': 6, 'link': 'https://scholar.google.com/scholar?cluster=13664534217475349412&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:pNvJFXktor0J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'arxiv.org', 'format': 'PDF', 'link': 'https://arxiv.org/pdf/2403.05568'}","[{'name': 'A Singh', 'id': 'az0wOaoAAAAJ', 'link': 'https://scholar.google.com/citations?user=az0wOaoAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'A Ehtesham', 'id': 'QaJ56B8AAAAJ', 'link': 'https://scholar.google.com/citations?user=QaJ56B8AAAAJ&hl=en&num=20&oi=sra'}, {'name': 'S Mahmud', 'id': 'x-lWSoMAAAAJ', 'link': 'https://scholar.google.com/citations?user=x-lWSoMAAAAJ&hl=en&num=20&oi=sra'}]"
7,8,Intelligent educational agent for education support using long language models through Langchain,Rk4wLiU2bYMJ,https://link.springer.com/chapter/10.1007/978-3-031-54235-0_24,"P Neira-Maldonado, D Quisi-Peralta… - … Technology & Systems, 2024 - Springer",This paper explores the development of an Intelligent Educational Agent (IEA) with a focus on enhancing the learning experience for university students. In an era where online …,,"{'cited_by': {'cites_id': '9470285124746628678', 'total': 9, 'link': 'https://scholar.google.com/scholar?cites=9470285124746628678&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'versions': {'cluster_id': '9470285124746628678', 'total': 4, 'link': 'https://scholar.google.com/scholar?cluster=9470285124746628678&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:Rk4wLiU2bYMJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,"[{'name': 'D Quisi-Peralta', 'id': 'x9CpPoMAAAAJ', 'link': 'https://scholar.google.com/citations?user=x9CpPoMAAAAJ&hl=en&num=20&oi=sra'}]"
8,9,Cardiovascular Disease Prediction Using Langchain,pR_uxQPMSGMJ,https://ieeexplore.ieee.org/abstract/document/10601906/,"K Ananthajothi, J David, A Kavin - … International Conference on …, 2024 - ieeexplore.ieee.org","… of LangChain, a groundbreaking deep learning architecture poised to revolutionize the landscape of CVD prediction. LangChain … However, LangChain delves deeper, unlocking the …",,"{'cited_by': {'cites_id': '7154192324655718309', 'total': 5, 'link': 'https://scholar.google.com/scholar?cites=7154192324655718309&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:pR_uxQPMSGMJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,"[{'name': 'K Ananthajothi', 'id': 'g_DySqoAAAAJ', 'link': 'https://scholar.google.com/citations?user=g_DySqoAAAAJ&hl=en&num=20&oi=sra'}]"
9,10,"Generative AI with LangChain: Build large language model (LLM) apps with Python, ChatGPT, and other LLMs",yrMykhnq35IJ,https://books.google.com/books?hl=en&lr=&id=cOrpEAAAQBAJ&oi=fnd&pg=PP1&dq=Langchain&ots=_VYsuw4hwh&sig=xWmly53jedjVzljtBDyxIj_Wkuw,B Auffarth - 2023 - books.google.com,"… LangChain … LangChain. Whether you are a beginner or an experienced developer, this book will serve as a valuable resource if you want to get the most out of LLMs using LangChain. …",BOOK,"{'cited_by': {'cites_id': '10583435044891833290', 'total': 24, 'link': 'https://scholar.google.com/scholar?cites=10583435044891833290&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'versions': {'cluster_id': '10583435044891833290', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=10583435044891833290&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:yrMykhnq35IJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,
