No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number,first publication date,second publication date,first publication number,second publication number,first publication country,second publication country,first filing year,earliest priority year,applicant country,family_jurisdictions,family_members
1,Plug-in hybrid vehicle with fast energy storage,"BENDER DONALD A [US] 
DESHMANE ATUL [US] 
MEANS ANDREW E [US]",AFS TRINITY POWER CORP [US],US2006250902A1,2005-05-05,['H04B1/20'],"['B60K6/20 (KR)', 'B60K6/28 (KR)', 'B60K6/30 (EP,US)', 'B60K6/46 (EP,US)', 'B60K6/48 (EP,US)', 'B60K6/52 (EP,US)', 'B60K6/54 (EP,US)', 'B60L15/007 (EP,US)', 'B60L50/15 (EP,US)', 'B60L50/16 (EP,US)', 'B60L50/61 (EP,US)', 'B60L50/62 (EP,US)', 'B60L53/14 (EP,US)', 'B60L53/30 (EP,US)', 'B60L55/00 (EP,US)', 'B60L58/20 (EP,US)', 'H04B1/20 (KR)', 'B60K1/02 (EP,US)', 'B60L2260/28 (EP,US)', 'Y02E60/00 (EP,US)', 'Y02T10/62 (EP,US)', 'Y02T10/64 (EP,US)', 'Y02T10/70 (EP,US)', 'Y02T10/7072 (EP,US)', 'Y02T90/12 (EP,US)', 'Y02T90/14 (EP,US)', 'Y02T90/16 (US)', 'Y04S10/126 (EP,US)']",2006-11-09,2006-11-09,37397092,2006-11-09,,US2006250902A1,,US,,2006,2005,US,"['AU', 'CA', 'CN', 'EP', 'HK', 'JP', 'KR', 'US', 'WO']","['AU2006295147A1', 'AU2006295147B2', 'CA2623398A1', 'CA2647638A1', 'CN101218119A', 'CN101218119B', 'CN101309810A', 'CN101309810B', 'EP1883552A2', 'EP1883552A4', 'EP1883552B1', 'EP1935101A2', 'EP1935101A4', 'EP1935101B1', 'HK1112604A1', 'HK1120677A1', 'HK1123017A1', 'JP2009508763A', 'KR20080003905A', 'US2006250902A1', 'US2007068714A1', 'US7740092B2', 'WO2006121761A2', 'WO2006121761A3', 'WO2007037972A2', 'WO2007037972A3']"
2,Vehicle charging system capable of hydrogen and electric charging,HONG SEONG HO,HOGREENAIR CO LTD [KR],KR102511398B1,2022-09-20,"['B60L3/00', 'B60L53/16', 'B60L53/51', 'B60L53/54', 'B60L53/57', 'B60L58/30', 'H01M8/04082', 'H05K7/20']","['Y02T10/70 (EP)', 'Y02T10/7072 (EP)']",2023-03-20,2023-03-20,85796445,2023-03-20,,KR102511398B1,,KR,,2023,2022,KR,['KR'],['KR102511398B1']
3,Electric vehicle charging system using hydrogen fuel cell,HONG SEONG HO,HOGREENAIR CO LTD [KR],KR102511391B1,2022-09-20,"['B60L3/00', 'B60L53/16', 'B60L53/51', 'B60L53/54', 'B60L53/57', 'B60L58/30', 'H01M8/04082', 'H05K7/20']",['Y02T10/70 (EP)'],2023-03-20,2023-03-20,85796535,2023-03-20,,KR102511391B1,,KR,,2023,2022,KR,['KR'],['KR102511391B1']
4,Electric vehicle wireless charging system through hydrogen power generation,SON JEONG KI [KR],SON JEONG KI [KR],KR20230163874A,2022-05-24,"['B60L53/12', 'B60L53/38', 'B60L53/54', 'B60L53/66', 'B60L53/68', 'G06Q20/14', 'G06Q50/30']","['B60L53/12 (KR)', 'B60L53/38 (KR)', 'B60L53/54 (KR)', 'B60L53/665 (KR)', 'B60L53/68 (KR)', 'G06Q20/145 (KR)', 'G06Q50/40 (KR)', 'B60Y2200/91 (KR)', 'Y02T90/12 (KR)']",2023-12-01,2023-12-01,89124565,2023-12-01,,KR20230163874A,,KR,,2023,2022,KR,['KR'],['KR20230163874A']
5,Vehicle electric battery charging system,JULIAN MENASHE [BS],JULIAN MENASHE [BS],GB2631101A,2023-06-19,"['B60L53/66', 'B60L53/68']","['B60L50/10 (EP)', 'B60L50/50 (EP)', 'B60L50/75 (EP)', 'B60L53/65 (EP)', 'B60L53/66 (GB)', 'B60L53/665 (EP)', 'B60L53/67 (EP)', 'B60L53/68 (EP,GB)', 'B60L7/10 (EP)', 'B60L2240/12 (EP)', 'B60L2240/622 (EP)', 'B60L2240/70 (GB)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/10 (GB)', 'Y02T90/12 (EP)', 'Y02T90/16 (EP,GB)']",2024-12-25,2024-12-25,91738186,2024-12-25,,GB2631101A,,GB,,2024,2023,BS,"['GB', 'WO']","['GB2631101A', 'WO2024261465A1']"
6,Nickel-hydrogen battery charging method,"LIU YI 
ZHOU LIFU 
NI RUJIN",HUIZHOU DESAY SV AUTOMOBILE ELECTRONIC CO LTD,"CN105098267A 
CN105098267B",2014-04-29,['H01M10/44'],['Y02E60/10 (EP)'],"2015-11-25 
2017-05-24",2015-11-25,54578217,2015-11-25,2017-05-24,CN105098267A,"
CN105098267B",CN,"
",2015,2014,,['CN'],"['CN105098267A', 'CN105098267B']"
7,ESS SYSTEM FOR CHARGING FUEL CELL ELECTRIC VEHICLE AND ELECTRIC VEHICLE,"MUN TAEEUN [KR] 
CHAE HO BYUNG [KR] 
SHIN JONG HOON [KR]","SIGNET EV INC [KR] 
SIGNET ENERGY [KR]",US2022140365A1,2020-11-02,"['H01M16/00', 'H01M8/04828', 'H02J7/34']","['B60K15/03006 (KR)', 'B60L53/20 (KR)', 'B60L53/50 (KR)', 'B60L58/12 (KR)', 'B60L58/31 (KR)', 'H01M10/425 (EP)', 'H01M16/003 (US)', 'H01M16/006 (EP,KR)', 'H01M8/0494 (EP,US)', 'H01M8/04992 (EP)', 'H01M8/186 (KR)', 'H02J7/34 (EP,KR,US)', 'B60K2015/03315 (KR)', 'B60L2210/30 (KR)', 'B60Y2200/91 (KR)', 'H01M2010/4271 (EP)', 'H01M2220/10 (EP,KR)', 'H01M2220/20 (EP)', 'H01M2250/10 (EP,KR)', 'H01M2250/20 (EP,US)', 'H01M8/0494 (KR)', 'H02J2207/20 (EP,KR)', 'H02J2300/30 (EP)', 'Y02E60/10 (EP)', 'Y02E60/36 (EP)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP,KR)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)', 'Y02T90/40 (EP,KR)']",2022-05-05,2021-03-17,75243546,2022-05-05,,US2022140365A1,,US,,2022,2020,KR,"['JP', 'KR', 'US']","['JP2022073928A', 'KR102228132B1', 'US2022140365A1']"
8,SYSTÈME DE CHARGE DE BATTERIE POUR VÉHICULE ÉLECTRIQUE,CHUNG YON JONG [KR],CHUNG YON JONG [KR],"WO2011019133A2 
WO2011019133A3",2009-08-13,"['B60L11/18', 'B60W10/24', 'H02J7/00']","['B60K6/46 (EP)', 'B60L15/2045 (EP)', 'B60L58/12 (EP,US)', 'B60W10/06 (EP)', 'B60W10/08 (EP)', 'B60W10/24 (KR,US)', 'B60W20/00 (EP)', 'B60W20/12 (EP,US)', 'H02J5/00 (US)', 'H02J7/00 (KR)', 'H02J7/02 (EP,US)', 'B60L2240/24 (EP)', 'B60L2240/26 (EP)', 'B60L2240/62 (EP)', 'B60L2240/622 (EP)', 'B60L2240/68 (EP)', 'B60L2260/54 (EP)', 'B60L2260/56 (EP)', 'B60W2050/0025 (EP)', 'B60W2050/0031 (EP)', 'B60W2050/146 (EP)', 'B60W2510/244 (EP)', 'B60W2530/10 (EP)', 'B60W2540/10 (EP)', 'B60W2540/12 (EP)', 'B60W2540/18 (EP)', 'B60W2554/00 (EP)', 'B60W2556/50 (EP)', 'Y02T10/62 (EP)', 'Y02T10/64 (EP)', 'Y02T10/70 (EP)', 'Y02T10/72 (EP)', 'Y02T90/16 (EP)']","2011-02-17 
2011-04-07",2010-03-25,42183715,2011-02-17,2011-04-07,WO2011019133A2,"
WO2011019133A3",WO,"
",2011,2009,KR,"['KR', 'WO']","['KR100949260B1', 'WO2011019133A2', 'WO2011019133A3']"
9,Automatic charging device for battery module of electric vehicle,CHEN WEN-LE [TW],CHEN WEN-LE [TW],TW201310755A,2011-08-18,"['B60L11/18', 'H01M2/36', 'H01M8/04']","['Y02E60/50 (EP)', 'Y02T10/70 (EP)']",2013-03-01,2013-03-01,48482101,2013-03-01,,TW201310755A,,TW,,2013,2011,TW,['TW'],['TW201310755A']
10,Method for quickly charging electric vehicle lead-acid storage battery,"CHENG HUANGREN 
HAN YIXI 
LI QINGBAO 
ZHAO XI",TIANJIN YADI IND CO LTD,CN108550935A,2018-04-19,['H01M10/44'],"['H01M10/445 (CN)', 'Y02E60/10 (EP)']",2018-09-18,2018-09-18,63515557,2018-09-18,,CN108550935A,,CN,,2018,2018,,['CN'],['CN108550935A']
11,Motor driving and lithium battery charging integrated method for hybrid electric vehicle,"CHEN JING 
TIAN SHAOPENG 
XIAO CHUN 
WANG YUNING 
YANG CAN 
QIN GUOFENG 
LI ZHIHUA 
GUO ZHENGYANG",FOSHAN XIANHU LABORATORY,CN112606713A,2020-12-10,"['B60L50/75', 'B60L58/40', 'H02J7/02', 'H02P27/06']","['B60L50/75 (CN)', 'B60L58/40 (CN)', 'H02J7/02 (CN)', 'H02P27/06 (CN)', 'B60L2210/10 (CN)', 'B60L2210/30 (CN)', 'Y02T10/64 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']",2021-04-06,2021-04-06,75232631,2021-04-06,,CN112606713A,,CN,,2021,2020,,['CN'],['CN112606713A']
12,AUTOMATIC CHARGING SYSTEM FOR ELECTRIC VEHICLE,CHEN WEN-LO [TW],CHEN WEN-LO [TW],US2013093378A1,2011-10-17,['H02J7/00'],"['B60L50/72 (EP,US)', 'B60L58/40 (EP,US)', 'B60L8/00 (EP,US)', 'C25B1/04 (EP,US)', 'C25B15/02 (EP,US)', 'C25B15/08 (EP,US)', 'H01M16/003 (EP,US)', 'H01M16/006 (EP,US)', 'H01M8/0656 (EP,US)', 'H01M2220/20 (EP,US)', 'H01M2250/20 (EP,US)', 'H02J2310/48 (EP)', 'Y02E60/10 (EP)', 'Y02E60/36 (EP,US)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP,US)', 'Y02T90/40 (EP,US)']",2013-04-18,2013-04-18,48085546,2013-04-18,,US2013093378A1,,US,,2013,2011,TW,['US'],['US2013093378A1']
13,Stable Charging Device for Methanol Hydrogen Production Electric Vehicle,CHEN JIEPING,ZHEJIANG QINGGU NEW ENERGY AUTOMOBILE CO LTD,"CN109263516A 
CN109263516B",2018-10-30,"['B60L58/31', 'H01M8/04082', 'H01M8/0612']","['H01M8/04201 (CN)', 'H01M8/0618 (CN)', 'H01M8/0625 (CN)', 'Y02E60/50 (EP)', 'Y02T90/40 (EP)']","2019-01-25 
2024-03-15",2019-01-25,65194032,2019-01-25,2024-03-15,CN109263516A,"
CN109263516B",CN,"
",2019,2018,,['CN'],"['CN109263516A', 'CN109263516B']"
14,Control method and system for charging electric vehicle by hydrogen fuel cell generator,"XIANG HUA 
YANG WEITAO",GUANGDONG HYDROGEN ENERGY SCIENCE & TECH CO LTD,CN110015205A,2017-11-29,['B60L58/30'],"['B60L58/30 (CN)', 'Y02T90/40 (EP)']",2019-07-16,2019-07-16,67186523,2019-07-16,,CN110015205A,,CN,,2019,2017,,['CN'],['CN110015205A']
15,Motor driving and lithium battery charging integrated system of hybrid electric vehicle,"CHEN JING 
TIAN SHAOPENG 
XIAO CHUN 
WANG YUNING 
YANG CAN 
QIN GUOFENG 
LI ZHIHUA 
GUO ZHENGYANG",FOSHAN XIANHU LABORATORY,CN214240460U,2020-12-10,"['B60L50/75', 'B60L58/40', 'H02J7/02', 'H02P27/06']","['Y02T10/64 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']",2021-09-21,2021-09-21,77737375,2021-09-21,,CN214240460U,,CN,,2021,2020,,['CN'],['CN214240460U']
16,Double dynamical hydrogen energy charging system of electric automobile,"LI XIN 
PEI JING 
LI LEI",GUOKEGONGXIN BEIJING NEW ENERGY SCIENCE INST,CN206968376U,2017-04-17,"['B60K1/02', 'B60L11/18']",['Y02T10/70 (EP)'],2018-02-06,2018-02-06,61415160,2018-02-06,,CN206968376U,,CN,,2018,2017,,['CN'],['CN206968376U']
17,Movable charging vehicle for electric automobile,XIANG HUA,SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD,CN106025314A,2016-06-17,"['B60L11/18', 'H01M4/90', 'H01M8/0612', 'H02J7/00']","['B60L53/14 (CN)', 'B60L53/54 (CN)', 'H01M4/9016 (CN)', 'H01M8/0618 (CN)', 'H02J7/0027 (CN)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)', 'Y02T90/167 (EP)', 'Y04S30/12 (EP)']",2016-10-12,2016-10-12,57089126,2016-10-12,,CN106025314A,,CN,,2016,2016,,['CN'],['CN106025314A']
18,VÉHICULE ÉLECTRIQUE HYBRIDE À HYDROGÈNE,"AHMAD REZAL KHAIRI BIN [MY] 
ZOLKIPLI MOHAMAD HAFIZ BIN [MY] 
ABDULLAH MOHAMAD SHAZWAN BIN [MY] 
SULAIMAN MOHD TAUFIK BIN [MY] 
PARDAMAN SINGH JAGJEET SINGH A/L [MY]",NANOMALAYSIA BERHAD [MY],WO2023128748A1,2021-12-27,"['B60K6/26', 'B60K6/28', 'B60L15/20', 'B60L53/24', 'B60L58/40']","['B60K6/28 (EP)', 'B60K6/32 (EP)', 'B60K6/48 (EP)', 'B60L50/40 (EP)', 'B60L58/12 (EP)', 'B60L58/40 (EP)', 'H01M10/0525 (EP)', 'H01M16/003 (EP)', 'H01M16/006 (EP)', 'H01M4/583 (EP)', 'H01M8/0606 (EP)', 'H01M8/1004 (EP)', 'H01M2220/20 (EP)', 'H01M2250/20 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']",2023-07-06,2023-07-06,86999818,2023-07-06,,WO2023128748A1,,WO,,2023,2021,MY,['WO'],['WO2023128748A1']
19,Automatic charging system for idling fuel cell in hydrogen vehicle,"BAO XIANJUN 
ZHAO CHENGWANG 
FANG XIAOMING 
CHENG XIAOCUI 
WANG LIANG",WUHU GUOQING WNERGY CO LTD,CN204109822U,2014-09-29,['B60L11/18'],"['Y02T10/70 (EP)', 'Y02T10/72 (EP)']",2015-01-21,2015-01-21,52327170,2015-01-21,,CN204109822U,,CN,,2015,2014,,['CN'],['CN204109822U']
